#    L    TT             EE             TE             PP             TP          
   149   0.319711E+04   0.938870E+00  -0.364138E+02   0.408290E+07   0.301451E+04
   150   0.322117E+04   0.932223E+00  -0.363798E+02   0.405427E+07   0.298582E+04
   151   0.324510E+04   0.925187E+00  -0.363257E+02   0.402585E+07   0.295753E+04
   152   0.326874E+04   0.917691E+00  -0.362500E+02   0.399764E+07   0.292963E+04
   153   0.329225E+04   0.909887E+00  -0.361505E+02   0.396963E+07   0.290212E+04
   154   0.331555E+04   0.901778E+00  -0.360297E+02   0.394183E+07   0.287498E+04
   155   0.333865E+04   0.893365E+00  -0.358867E+02   0.391424E+07   0.284821E+04
   156   0.336138E+04   0.884653E+00  -0.357218E+02   0.388685E+07   0.282180E+04
   157   0.338406E+04   0.875645E+00  -0.355334E+02   0.385966E+07   0.279574E+04
   158   0.340646E+04   0.866416E+00  -0.353224E+02   0.383268E+07   0.277003E+04
   159   0.342858E+04   0.856823E+00  -0.350888E+02   0.380590E+07   0.274464E+04
   160   0.345049E+04   0.847015E+00  -0.348313E+02   0.377932E+07   0.271958E+04
   161   0.347219E+04   0.837071E+00  -0.345513E+02   0.375294E+07   0.269484E+04
   162   0.349361E+04   0.826845E+00  -0.342491E+02   0.372677E+07   0.267040E+04
   163   0.351490E+04   0.816414E+00  -0.339230E+02   0.370079E+07   0.264626E+04
   164   0.353576E+04   0.805855E+00  -0.335748E+02   0.367501E+07   0.262241E+04
   165   0.355649E+04   0.795097E+00  -0.332023E+02   0.364943E+07   0.259885E+04
   166   0.357694E+04   0.784292E+00  -0.328069E+02   0.362404E+07   0.257556E+04
   167   0.359718E+04   0.773219E+00  -0.323896E+02   0.359885E+07   0.255253E+04
   168   0.361699E+04   0.762252E+00  -0.319481E+02   0.357386E+07   0.252976E+04
   169   0.363653E+04   0.751098E+00  -0.314826E+02   0.354906E+07   0.250724E+04
   170   0.365579E+04   0.739983E+00  -0.309945E+02   0.352446E+07   0.248496E+04
   171   0.367461E+04   0.728908E+00  -0.304818E+02   0.350005E+07   0.246291E+04
   172   0.369309E+04   0.717804E+00  -0.299460E+02   0.347583E+07   0.244108E+04
   173   0.371114E+04   0.706672E+00  -0.293872E+02   0.345181E+07   0.241947E+04
   174   0.372891E+04   0.695813E+00  -0.288053E+02   0.342797E+07   0.239806E+04
   175   0.374632E+04   0.684933E+00  -0.281999E+02   0.340433E+07   0.237685E+04
   176   0.376324E+04   0.674257E+00  -0.275709E+02   0.338087E+07   0.235583E+04
