#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1487   0.379872E+03  -0.260850E+01   0.100132E-05  -0.260850E+01   0.200865E+02   0.163229E-06   0.100132E-05   0.163229E-06   0.940480E-09
  1488   0.378041E+03  -0.307015E+01   0.992802E-06  -0.307015E+01   0.201375E+02   0.163551E-06   0.992802E-06   0.163551E-06   0.938616E-09
  1489   0.376226E+03  -0.353501E+01   0.984339E-06  -0.353501E+01   0.201861E+02   0.163851E-06   0.984339E-06   0.163851E-06   0.936756E-09
  1490   0.374461E+03  -0.400258E+01   0.975925E-06  -0.400258E+01   0.202308E+02   0.164130E-06   0.975925E-06   0.164130E-06   0.934900E-09
  1491   0.372741E+03  -0.447274E+01   0.967562E-06  -0.447274E+01   0.202731E+02   0.164388E-06   0.967562E-06   0.164388E-06   0.933049E-09
  1492   0.371071E+03  -0.494505E+01   0.959251E-06  -0.494505E+01   0.203129E+02   0.164624E-06   0.959251E-06   0.164624E-06   0.931201E-09
  1493   0.369438E+03  -0.541930E+01   0.950992E-06  -0.541930E+01   0.203488E+02   0.164839E-06   0.950992E-06   0.164839E-06   0.929358E-09
  1494   0.367847E+03  -0.589515E+01   0.942786E-06  -0.589515E+01   0.203822E+02   0.165033E-06   0.942786E-06   0.165033E-06   0.927518E-09
  1495   0.366306E+03  -0.637226E+01   0.934634E-06  -0.637226E+01   0.204132E+02   0.165206E-06   0.934634E-06   0.165206E-06   0.925683E-09
  1496   0.364807E+03  -0.685026E+01   0.926537E-06  -0.685026E+01   0.204410E+02   0.165358E-06   0.926537E-06   0.165358E-06   0.923852E-09
  1497   0.363349E+03  -0.732890E+01   0.918494E-06  -0.732890E+01   0.204648E+02   0.165489E-06   0.918494E-06   0.165489E-06   0.922025E-09
  1498   0.361949E+03  -0.780787E+01   0.910508E-06  -0.780787E+01   0.204861E+02   0.165599E-06   0.910508E-06   0.165599E-06   0.920201E-09
  1499   0.360589E+03  -0.828672E+01   0.902578E-06  -0.828672E+01   0.205034E+02   0.165688E-06   0.902578E-06   0.165688E-06   0.918382E-09
  1500   0.359277E+03  -0.876521E+01   0.894706E-06  -0.876521E+01   0.205183E+02   0.165755E-06   0.894706E-06   0.165755E-06   0.916567E-09
  1501   0.358014E+03  -0.924285E+01   0.886892E-06  -0.924285E+01   0.205292E+02   0.165802E-06   0.886892E-06   0.165802E-06   0.914756E-09
  1502   0.356796E+03  -0.971994E+01   0.879137E-06  -0.971994E+01   0.205369E+02   0.165828E-06   0.879137E-06   0.165828E-06   0.912949E-09
  1503   0.355631E+03  -0.101962E+02   0.871440E-06  -0.101962E+02   0.205415E+02   0.165834E-06   0.871440E-06   0.165834E-06   0.911145E-09
  1504   0.354509E+03  -0.106712E+02   0.863802E-06  -0.106712E+02   0.205425E+02   0.165819E-06   0.863802E-06   0.165819E-06   0.909346E-09
  1505   0.353429E+03  -0.111454E+02   0.856224E-06  -0.111454E+02   0.205406E+02   0.165783E-06   0.856224E-06   0.165783E-06   0.907551E-09
  1506   0.352397E+03  -0.116183E+02   0.848706E-06  -0.116183E+02   0.205351E+02   0.165727E-06   0.848706E-06   0.165727E-06   0.905759E-09
  1507   0.351410E+03  -0.120900E+02   0.841247E-06  -0.120900E+02   0.205270E+02   0.165652E-06   0.841247E-06   0.165652E-06   0.903972E-09
  1508   0.350469E+03  -0.125606E+02   0.833849E-06  -0.125606E+02   0.205156E+02   0.165556E-06   0.833849E-06   0.165556E-06   0.902188E-09
  1509   0.349564E+03  -0.130297E+02   0.826511E-06  -0.130297E+02   0.205002E+02   0.165441E-06   0.826511E-06   0.165441E-06   0.900409E-09
  1510   0.348715E+03  -0.134976E+02   0.819234E-06  -0.134976E+02   0.204831E+02   0.165306E-06   0.819234E-06   0.165306E-06   0.898633E-09
  1511   0.347891E+03  -0.139632E+02   0.812019E-06  -0.139632E+02   0.204623E+02   0.165151E-06   0.812019E-06   0.165151E-06   0.896861E-09
  1512   0.347114E+03  -0.144287E+02   0.804864E-06  -0.144287E+02   0.204385E+02   0.164977E-06   0.804864E-06   0.164977E-06   0.895093E-09
  1513   0.346373E+03  -0.148908E+02   0.797772E-06  -0.148908E+02   0.204118E+02   0.164784E-06   0.797772E-06   0.164784E-06   0.893330E-09
  1514   0.345684E+03  -0.153517E+02   0.790741E-06  -0.153517E+02   0.203831E+02   0.164572E-06   0.790741E-06   0.164572E-06   0.891569E-09
  1515   0.345050E+03  -0.158096E+02   0.783773E-06  -0.158096E+02   0.203511E+02   0.164341E-06   0.783773E-06   0.164341E-06   0.889813E-09
  1516   0.344435E+03  -0.162667E+02   0.776868E-06  -0.162667E+02   0.203157E+02   0.164091E-06   0.776868E-06   0.164091E-06   0.888061E-09
  1517   0.343866E+03  -0.167205E+02   0.770025E-06  -0.167205E+02   0.202778E+02   0.163823E-06   0.770025E-06   0.163823E-06   0.886312E-09
  1518   0.343334E+03  -0.171708E+02   0.763245E-06  -0.171708E+02   0.202376E+02   0.163536E-06   0.763245E-06   0.163536E-06   0.884568E-09
  1519   0.342837E+03  -0.176204E+02   0.756529E-06  -0.176204E+02   0.201936E+02   0.163231E-06   0.756529E-06   0.163231E-06   0.882827E-09
  1520   0.342389E+03  -0.180662E+02   0.749877E-06  -0.180662E+02   0.201474E+02   0.162908E-06   0.749877E-06   0.162908E-06   0.881090E-09
  1521   0.341967E+03  -0.185088E+02   0.743289E-06  -0.185088E+02   0.200991E+02   0.162567E-06   0.743289E-06   0.162567E-06   0.879356E-09
  1522   0.341575E+03  -0.189487E+02   0.736765E-06  -0.189487E+02   0.200473E+02   0.162208E-06   0.736765E-06   0.162208E-06   0.877627E-09
  1523   0.341228E+03  -0.193850E+02   0.730306E-06  -0.193850E+02   0.199929E+02   0.161831E-06   0.730306E-06   0.161831E-06   0.875901E-09
  1524   0.340909E+03  -0.198182E+02   0.723911E-06  -0.198182E+02   0.199366E+02   0.161437E-06   0.723911E-06   0.161437E-06   0.874179E-09
  1525   0.340625E+03  -0.202475E+02   0.717582E-06  -0.202475E+02   0.198780E+02   0.161025E-06   0.717582E-06   0.161025E-06   0.872461E-09
  1526   0.340379E+03  -0.206727E+02   0.711319E-06  -0.206727E+02   0.198162E+02   0.160596E-06   0.711319E-06   0.160596E-06   0.870747E-09
  1527   0.340165E+03  -0.210950E+02   0.705121E-06  -0.210950E+02   0.197513E+02   0.160149E-06   0.705121E-06   0.160149E-06   0.869036E-09
  1528   0.339981E+03  -0.215120E+02   0.698989E-06  -0.215120E+02   0.196851E+02   0.159686E-06   0.698989E-06   0.159686E-06   0.867330E-09
  1529   0.339832E+03  -0.219245E+02   0.692924E-06  -0.219245E+02   0.196160E+02   0.159206E-06   0.692924E-06   0.159206E-06   0.865627E-09
  1530   0.339716E+03  -0.223328E+02   0.686925E-06  -0.223328E+02   0.195442E+02   0.158710E-06   0.686925E-06   0.158710E-06   0.863927E-09
  1531   0.339626E+03  -0.227368E+02   0.680994E-06  -0.227368E+02   0.194706E+02   0.158196E-06   0.680994E-06   0.158196E-06   0.862232E-09
  1532   0.339574E+03  -0.231349E+02   0.675129E-06  -0.231349E+02   0.193951E+02   0.157667E-06   0.675129E-06   0.157667E-06   0.860540E-09
  1533   0.339544E+03  -0.235268E+02   0.669333E-06  -0.235268E+02   0.193164E+02   0.157121E-06   0.669333E-06   0.157121E-06   0.858852E-09
  1534   0.339549E+03  -0.239154E+02   0.663604E-06  -0.239154E+02   0.192362E+02   0.156559E-06   0.663604E-06   0.156559E-06   0.857167E-09
  1535   0.339581E+03  -0.242968E+02   0.657943E-06  -0.242968E+02   0.191537E+02   0.155981E-06   0.657943E-06   0.155981E-06   0.855486E-09
  1536   0.339637E+03  -0.246731E+02   0.652351E-06  -0.246731E+02   0.190682E+02   0.155387E-06   0.652351E-06   0.155387E-06   0.853809E-09
  1537   0.339732E+03  -0.250432E+02   0.646827E-06  -0.250432E+02   0.189815E+02   0.154777E-06   0.646827E-06   0.154777E-06   0.852136E-09
  1538   0.339856E+03  -0.254064E+02   0.641372E-06  -0.254064E+02   0.188928E+02   0.154153E-06   0.641372E-06   0.154153E-06   0.850466E-09
  1539   0.339970E+03  -0.257631E+02   0.635987E-06  -0.257631E+02   0.188007E+02   0.153512E-06   0.635987E-06   0.153512E-06   0.848800E-09
  1540   0.340133E+03  -0.261124E+02   0.630671E-06  -0.261124E+02   0.187069E+02   0.152857E-06   0.630671E-06   0.152857E-06   0.847137E-09
  1541   0.340321E+03  -0.264557E+02   0.625425E-06  -0.264557E+02   0.186121E+02   0.152186E-06   0.625425E-06   0.152186E-06   0.845478E-09
  1542   0.340532E+03  -0.267905E+02   0.620250E-06  -0.267905E+02   0.185150E+02   0.151500E-06   0.620250E-06   0.151500E-06   0.843823E-09
  1543   0.340757E+03  -0.271189E+02   0.615144E-06  -0.271189E+02   0.184149E+02   0.150800E-06   0.615144E-06   0.150800E-06   0.842171E-09
  1544   0.341010E+03  -0.274385E+02   0.610110E-06  -0.274385E+02   0.183142E+02   0.150085E-06   0.610110E-06   0.150085E-06   0.840523E-09
  1545   0.341289E+03  -0.277499E+02   0.605147E-06  -0.277499E+02   0.182106E+02   0.149356E-06   0.605147E-06   0.149356E-06   0.838879E-09
  1546   0.341578E+03  -0.280536E+02   0.600255E-06  -0.280536E+02   0.181051E+02   0.148612E-06   0.600255E-06   0.148612E-06   0.837238E-09
  1547   0.341890E+03  -0.283479E+02   0.595434E-06  -0.283479E+02   0.179985E+02   0.147854E-06   0.595434E-06   0.147854E-06   0.835600E-09
  1548   0.342231E+03  -0.286334E+02   0.590686E-06  -0.286334E+02   0.178902E+02   0.147082E-06   0.590686E-06   0.147082E-06   0.833967E-09
  1549   0.342585E+03  -0.289093E+02   0.586009E-06  -0.289093E+02   0.177794E+02   0.146296E-06   0.586009E-06   0.146296E-06   0.832336E-09
  1550   0.342965E+03  -0.291760E+02   0.581406E-06  -0.291760E+02   0.176670E+02   0.145496E-06   0.581406E-06   0.145496E-06   0.830710E-09
  1551   0.343347E+03  -0.294334E+02   0.576875E-06  -0.294334E+02   0.175532E+02   0.144683E-06   0.576875E-06   0.144683E-06   0.829087E-09
  1552   0.343760E+03  -0.296803E+02   0.572416E-06  -0.296803E+02   0.174372E+02   0.143856E-06   0.572416E-06   0.143856E-06   0.827467E-09
  1553   0.344181E+03  -0.299168E+02   0.568030E-06  -0.299168E+02   0.173208E+02   0.143016E-06   0.568030E-06   0.143016E-06   0.825851E-09
  1554   0.344623E+03  -0.301447E+02   0.563716E-06  -0.301447E+02   0.172031E+02   0.142163E-06   0.563716E-06   0.142163E-06   0.824238E-09
  1555   0.345070E+03  -0.303626E+02   0.559474E-06  -0.303626E+02   0.170828E+02   0.141297E-06   0.559474E-06   0.141297E-06   0.822629E-09
  1556   0.345543E+03  -0.305716E+02   0.555303E-06  -0.305716E+02   0.169608E+02   0.140419E-06   0.555303E-06   0.140419E-06   0.821024E-09
  1557   0.346027E+03  -0.307711E+02   0.551203E-06  -0.307711E+02   0.168379E+02   0.139528E-06   0.551203E-06   0.139528E-06   0.819422E-09
  1558   0.346528E+03  -0.309606E+02   0.547175E-06  -0.309606E+02   0.167141E+02   0.138625E-06   0.547175E-06   0.138625E-06   0.817823E-09
  1559   0.347052E+03  -0.311418E+02   0.543217E-06  -0.311418E+02   0.165875E+02   0.137710E-06   0.543217E-06   0.137710E-06   0.816228E-09
  1560   0.347583E+03  -0.313142E+02   0.539330E-06  -0.313142E+02   0.164609E+02   0.136783E-06   0.539330E-06   0.136783E-06   0.814636E-09
  1561   0.348105E+03  -0.314773E+02   0.535514E-06  -0.314773E+02   0.163324E+02   0.135844E-06   0.535514E-06   0.135844E-06   0.813048E-09
  1562   0.348640E+03  -0.316319E+02   0.531767E-06  -0.316319E+02   0.162034E+02   0.134893E-06   0.531767E-06   0.134893E-06   0.811463E-09
  1563   0.349193E+03  -0.317769E+02   0.528090E-06  -0.317769E+02   0.160727E+02   0.133932E-06   0.528090E-06   0.133932E-06   0.809882E-09
  1564   0.349764E+03  -0.319133E+02   0.524483E-06  -0.319133E+02   0.159417E+02   0.132959E-06   0.524483E-06   0.132959E-06   0.808304E-09
  1565   0.350352E+03  -0.320411E+02   0.520944E-06  -0.320411E+02   0.158083E+02   0.131976E-06   0.520944E-06   0.131976E-06   0.806730E-09
  1566   0.350940E+03  -0.321593E+02   0.517475E-06  -0.321593E+02   0.156749E+02   0.130981E-06   0.517475E-06   0.130981E-06   0.805159E-09
  1567   0.351527E+03  -0.322701E+02   0.514075E-06  -0.322701E+02   0.155385E+02   0.129976E-06   0.514075E-06   0.129976E-06   0.803591E-09
  1568   0.352128E+03  -0.323718E+02   0.510743E-06  -0.323718E+02   0.154038E+02   0.128961E-06   0.510743E-06   0.128961E-06   0.802027E-09
  1569   0.352748E+03  -0.324651E+02   0.507480E-06  -0.324651E+02   0.152671E+02   0.127936E-06   0.507480E-06   0.127936E-06   0.800467E-09
  1570   0.353372E+03  -0.325497E+02   0.504285E-06  -0.325497E+02   0.151308E+02   0.126900E-06   0.504285E-06   0.126900E-06   0.798909E-09
  1571   0.354006E+03  -0.326253E+02   0.501157E-06  -0.326253E+02   0.149949E+02   0.125855E-06   0.501157E-06   0.125855E-06   0.797355E-09
  1572   0.354633E+03  -0.326933E+02   0.498097E-06  -0.326933E+02   0.148558E+02   0.124801E-06   0.498097E-06   0.124801E-06   0.795805E-09
  1573   0.355268E+03  -0.327528E+02   0.495104E-06  -0.327528E+02   0.147174E+02   0.123737E-06   0.495104E-06   0.123737E-06   0.794257E-09
  1574   0.355925E+03  -0.328039E+02   0.492179E-06  -0.328039E+02   0.145774E+02   0.122664E-06   0.492179E-06   0.122664E-06   0.792714E-09
  1575   0.356572E+03  -0.328468E+02   0.489320E-06  -0.328468E+02   0.144383E+02   0.121581E-06   0.489320E-06   0.121581E-06   0.791173E-09
  1576   0.357224E+03  -0.328814E+02   0.486527E-06  -0.328814E+02   0.142963E+02   0.120491E-06   0.486527E-06   0.120491E-06   0.789636E-09
  1577   0.357878E+03  -0.329078E+02   0.483801E-06  -0.329078E+02   0.141554E+02   0.119391E-06   0.483801E-06   0.119391E-06   0.788102E-09
  1578   0.358535E+03  -0.329260E+02   0.481141E-06  -0.329260E+02   0.140141E+02   0.118283E-06   0.481141E-06   0.118283E-06   0.786572E-09
  1579   0.359201E+03  -0.329360E+02   0.478547E-06  -0.329360E+02   0.138718E+02   0.117167E-06   0.478547E-06   0.117167E-06   0.785044E-09
  1580   0.359851E+03  -0.329379E+02   0.476018E-06  -0.329379E+02   0.137308E+02   0.116043E-06   0.476018E-06   0.116043E-06   0.783521E-09
  1581   0.360501E+03  -0.329316E+02   0.473555E-06  -0.329316E+02   0.135889E+02   0.114911E-06   0.473555E-06   0.114911E-06   0.782000E-09
  1582   0.361162E+03  -0.329173E+02   0.471156E-06  -0.329173E+02   0.134471E+02   0.113771E-06   0.471156E-06   0.113771E-06   0.780483E-09
  1583   0.361806E+03  -0.328948E+02   0.468822E-06  -0.328948E+02   0.133038E+02   0.112624E-06   0.468822E-06   0.112624E-06   0.778969E-09
  1584   0.362460E+03  -0.328645E+02   0.466553E-06  -0.328645E+02   0.131623E+02   0.111469E-06   0.466553E-06   0.111469E-06   0.777458E-09
  1585   0.363094E+03  -0.328261E+02   0.464348E-06  -0.328261E+02   0.130210E+02   0.110308E-06   0.464348E-06   0.110308E-06   0.775951E-09
  1586   0.363735E+03  -0.327796E+02   0.462208E-06  -0.327796E+02   0.128787E+02   0.109139E-06   0.462208E-06   0.109139E-06   0.774447E-09
  1587   0.364369E+03  -0.327254E+02   0.460131E-06  -0.327254E+02   0.127376E+02   0.107964E-06   0.460131E-06   0.107964E-06   0.772946E-09
  1588   0.365002E+03  -0.326632E+02   0.458117E-06  -0.326632E+02   0.125963E+02   0.106783E-06   0.458117E-06   0.106783E-06   0.771448E-09
  1589   0.365616E+03  -0.325931E+02   0.456167E-06  -0.325931E+02   0.124557E+02   0.105595E-06   0.456167E-06   0.105595E-06   0.769954E-09
  1590   0.366220E+03  -0.325151E+02   0.454280E-06  -0.325151E+02   0.123151E+02   0.104401E-06   0.454280E-06   0.104401E-06   0.768463E-09
  1591   0.366827E+03  -0.324291E+02   0.452455E-06  -0.324291E+02   0.121754E+02   0.103201E-06   0.452455E-06   0.103201E-06   0.766975E-09
  1592   0.367413E+03  -0.323352E+02   0.450693E-06  -0.323352E+02   0.120366E+02   0.101996E-06   0.450693E-06   0.101996E-06   0.765490E-09
  1593   0.367991E+03  -0.322337E+02   0.448994E-06  -0.322337E+02   0.118982E+02   0.100785E-06   0.448994E-06   0.100785E-06   0.764009E-09
  1594   0.368547E+03  -0.321243E+02   0.447356E-06  -0.321243E+02   0.117609E+02   0.995686E-07   0.447356E-06   0.995686E-07   0.762531E-09
  1595   0.369101E+03  -0.320068E+02   0.445780E-06  -0.320068E+02   0.116249E+02   0.983470E-07   0.445780E-06   0.983470E-07   0.761056E-09
  1596   0.369645E+03  -0.318816E+02   0.444266E-06  -0.318816E+02   0.114887E+02   0.971206E-07   0.444266E-06   0.971206E-07   0.759584E-09
  1597   0.370162E+03  -0.317486E+02   0.442813E-06  -0.317486E+02   0.113540E+02   0.958894E-07   0.442813E-06   0.958894E-07   0.758115E-09
  1598   0.370667E+03  -0.316076E+02   0.441421E-06  -0.316076E+02   0.112201E+02   0.946536E-07   0.441421E-06   0.946536E-07   0.756650E-09
  1599   0.371151E+03  -0.314590E+02   0.440090E-06  -0.314590E+02   0.110878E+02   0.934135E-07   0.440090E-06   0.934135E-07   0.755187E-09
  1600   0.371620E+03  -0.313025E+02   0.438819E-06  -0.313025E+02   0.109572E+02   0.921692E-07   0.438819E-06   0.921692E-07   0.753728E-09
  1601   0.372066E+03  -0.311383E+02   0.437609E-06  -0.311383E+02   0.108277E+02   0.909208E-07   0.437609E-06   0.909208E-07   0.752272E-09
  1602   0.372481E+03  -0.309664E+02   0.436458E-06  -0.309664E+02   0.106986E+02   0.896687E-07   0.436458E-06   0.896687E-07   0.750820E-09
  1603   0.372896E+03  -0.307872E+02   0.435366E-06  -0.307872E+02   0.105713E+02   0.884128E-07   0.435366E-06   0.884128E-07   0.749370E-09
  1604   0.373281E+03  -0.306011E+02   0.434334E-06  -0.306011E+02   0.104451E+02   0.871533E-07   0.434334E-06   0.871533E-07   0.747923E-09
  1605   0.373650E+03  -0.304070E+02   0.433359E-06  -0.304070E+02   0.103208E+02   0.858904E-07   0.433359E-06   0.858904E-07   0.746480E-09
  1606   0.373998E+03  -0.302067E+02   0.432442E-06  -0.302067E+02   0.101976E+02   0.846241E-07   0.432442E-06   0.846241E-07   0.745040E-09
  1607   0.374323E+03  -0.299998E+02   0.431583E-06  -0.299998E+02   0.100763E+02   0.833547E-07   0.431583E-06   0.833547E-07   0.743602E-09
  1608   0.374627E+03  -0.297851E+02   0.430780E-06  -0.297851E+02   0.995681E+01   0.820821E-07   0.430780E-06   0.820821E-07   0.742168E-09
  1609   0.374923E+03  -0.295644E+02   0.430033E-06  -0.295644E+02   0.983704E+01   0.808067E-07   0.430033E-06   0.808067E-07   0.740737E-09
  1610   0.375199E+03  -0.293374E+02   0.429342E-06  -0.293374E+02   0.971917E+01   0.795284E-07   0.429342E-06   0.795284E-07   0.739309E-09
  1611   0.375445E+03  -0.291037E+02   0.428706E-06  -0.291037E+02   0.960321E+01   0.782475E-07   0.428706E-06   0.782475E-07   0.737885E-09
  1612   0.375685E+03  -0.288644E+02   0.428125E-06  -0.288644E+02   0.948769E+01   0.769640E-07   0.428125E-06   0.769640E-07   0.736463E-09
  1613   0.375890E+03  -0.286191E+02   0.427598E-06  -0.286191E+02   0.937410E+01   0.756781E-07   0.427598E-06   0.756781E-07   0.735044E-09
  1614   0.376089E+03  -0.283681E+02   0.427124E-06  -0.283681E+02   0.926244E+01   0.743899E-07   0.427124E-06   0.743899E-07   0.733629E-09
  1615   0.376267E+03  -0.281110E+02   0.426704E-06  -0.281110E+02   0.915199E+01   0.730996E-07   0.426704E-06   0.730996E-07   0.732216E-09
  1616   0.376418E+03  -0.278482E+02   0.426336E-06  -0.278482E+02   0.904276E+01   0.718072E-07   0.426336E-06   0.718072E-07   0.730807E-09
  1617   0.376555E+03  -0.275800E+02   0.426020E-06  -0.275800E+02   0.893548E+01   0.705130E-07   0.426020E-06   0.705130E-07   0.729400E-09
  1618   0.376673E+03  -0.273068E+02   0.425756E-06  -0.273068E+02   0.882944E+01   0.692170E-07   0.425756E-06   0.692170E-07   0.727997E-09
  1619   0.376757E+03  -0.270289E+02   0.425543E-06  -0.270289E+02   0.872464E+01   0.679194E-07   0.425543E-06   0.679194E-07   0.726597E-09
  1620   0.376843E+03  -0.267460E+02   0.425381E-06  -0.267460E+02   0.862182E+01   0.666203E-07   0.425381E-06   0.666203E-07   0.725199E-09
  1621   0.376903E+03  -0.264583E+02   0.425268E-06  -0.264583E+02   0.851952E+01   0.653198E-07   0.425268E-06   0.653198E-07   0.723805E-09
  1622   0.376943E+03  -0.261663E+02   0.425205E-06  -0.261663E+02   0.841997E+01   0.640181E-07   0.425205E-06   0.640181E-07   0.722414E-09
  1623   0.376957E+03  -0.258702E+02   0.425192E-06  -0.258702E+02   0.832169E+01   0.627153E-07   0.425192E-06   0.627153E-07   0.721025E-09
  1624   0.376960E+03  -0.255690E+02   0.425226E-06  -0.255690E+02   0.822543E+01   0.614115E-07   0.425226E-06   0.614115E-07   0.719640E-09
  1625   0.376945E+03  -0.252644E+02   0.425309E-06  -0.252644E+02   0.812973E+01   0.601069E-07   0.425309E-06   0.601069E-07   0.718258E-09
  1626   0.376904E+03  -0.249562E+02   0.425439E-06  -0.249562E+02   0.803680E+01   0.588015E-07   0.425439E-06   0.588015E-07   0.716878E-09
  1627   0.376837E+03  -0.246438E+02   0.425616E-06  -0.246438E+02   0.794445E+01   0.574956E-07   0.425616E-06   0.574956E-07   0.715502E-09
  1628   0.376752E+03  -0.243284E+02   0.425840E-06  -0.243284E+02   0.785489E+01   0.561893E-07   0.425840E-06   0.561893E-07   0.714129E-09
  1629   0.376650E+03  -0.240089E+02   0.426109E-06  -0.240089E+02   0.776666E+01   0.548826E-07   0.426109E-06   0.548826E-07   0.712758E-09
  1630   0.376530E+03  -0.236870E+02   0.426424E-06  -0.236870E+02   0.768050E+01   0.535757E-07   0.426424E-06   0.535757E-07   0.711391E-09
  1631   0.376371E+03  -0.233616E+02   0.426784E-06  -0.233616E+02   0.759569E+01   0.522688E-07   0.426784E-06   0.522688E-07   0.710026E-09
  1632   0.376209E+03  -0.230339E+02   0.427188E-06  -0.230339E+02   0.751223E+01   0.509620E-07   0.427188E-06   0.509620E-07   0.708665E-09
  1633   0.376023E+03  -0.227035E+02   0.427637E-06  -0.227035E+02   0.743161E+01   0.496554E-07   0.427637E-06   0.496554E-07   0.707306E-09
  1634   0.375828E+03  -0.223706E+02   0.428128E-06  -0.223706E+02   0.735236E+01   0.483491E-07   0.428128E-06   0.483491E-07   0.705951E-09
  1635   0.375594E+03  -0.220356E+02   0.428663E-06  -0.220356E+02   0.727597E+01   0.470432E-07   0.428663E-06   0.470432E-07   0.704598E-09
  1636   0.375344E+03  -0.216982E+02   0.429240E-06  -0.216982E+02   0.719949E+01   0.457380E-07   0.429240E-06   0.457380E-07   0.703248E-09
  1637   0.375070E+03  -0.213602E+02   0.429858E-06  -0.213602E+02   0.712662E+01   0.444335E-07   0.429858E-06   0.444335E-07   0.701901E-09
  1638   0.374766E+03  -0.210196E+02   0.430519E-06  -0.210196E+02   0.705590E+01   0.431299E-07   0.430519E-06   0.431299E-07   0.700557E-09
  1639   0.374453E+03  -0.206777E+02   0.431220E-06  -0.206777E+02   0.698659E+01   0.418273E-07   0.431220E-06   0.418273E-07   0.699216E-09
  1640   0.374110E+03  -0.203354E+02   0.431961E-06  -0.203354E+02   0.691945E+01   0.405258E-07   0.431961E-06   0.405258E-07   0.697878E-09
  1641   0.373737E+03  -0.199917E+02   0.432742E-06  -0.199917E+02   0.685447E+01   0.392255E-07   0.432742E-06   0.392255E-07   0.696542E-09
  1642   0.373348E+03  -0.196461E+02   0.433562E-06  -0.196461E+02   0.679167E+01   0.379267E-07   0.433562E-06   0.379267E-07   0.695210E-09
  1643   0.372930E+03  -0.193012E+02   0.434422E-06  -0.193012E+02   0.673255E+01   0.366293E-07   0.434422E-06   0.366293E-07   0.693880E-09
  1644   0.372483E+03  -0.189574E+02   0.435319E-06  -0.189574E+02   0.667340E+01   0.353336E-07   0.435319E-06   0.353336E-07   0.692554E-09
  1645   0.372013E+03  -0.186121E+02   0.436255E-06  -0.186121E+02   0.661720E+01   0.340397E-07   0.436255E-06   0.340397E-07   0.691230E-09
  1646   0.371514E+03  -0.182670E+02   0.437227E-06  -0.182670E+02   0.656395E+01   0.327477E-07   0.437227E-06   0.327477E-07   0.689909E-09
  1647   0.371002E+03  -0.179211E+02   0.438236E-06  -0.179211E+02   0.651292E+01   0.314577E-07   0.438236E-06   0.314577E-07   0.688591E-09
  1648   0.370460E+03  -0.175777E+02   0.439282E-06  -0.175777E+02   0.646413E+01   0.301699E-07   0.439282E-06   0.301699E-07   0.687275E-09
  1649   0.369890E+03  -0.172348E+02   0.440363E-06  -0.172348E+02   0.641832E+01   0.288844E-07   0.440363E-06   0.288844E-07   0.685963E-09
  1650   0.369292E+03  -0.168922E+02   0.441480E-06  -0.168922E+02   0.637402E+01   0.276014E-07   0.441480E-06   0.276014E-07   0.684653E-09
  1651   0.368665E+03  -0.165523E+02   0.442631E-06  -0.165523E+02   0.633344E+01   0.263209E-07   0.442631E-06   0.263209E-07   0.683346E-09
  1652   0.368019E+03  -0.162123E+02   0.443817E-06  -0.162123E+02   0.629357E+01   0.250431E-07   0.443817E-06   0.250431E-07   0.682042E-09
  1653   0.367340E+03  -0.158731E+02   0.445036E-06  -0.158731E+02   0.625729E+01   0.237681E-07   0.445036E-06   0.237681E-07   0.680741E-09
  1654   0.366635E+03  -0.155379E+02   0.446288E-06  -0.155379E+02   0.622453E+01   0.224961E-07   0.446288E-06   0.224961E-07   0.679442E-09
  1655   0.365914E+03  -0.152015E+02   0.447573E-06  -0.152015E+02   0.619374E+01   0.212272E-07   0.447573E-06   0.212272E-07   0.678147E-09
  1656   0.365163E+03  -0.148678E+02   0.448891E-06  -0.148678E+02   0.616484E+01   0.199615E-07   0.448891E-06   0.199615E-07   0.676854E-09
  1657   0.364374E+03  -0.145355E+02   0.450240E-06  -0.145355E+02   0.613850E+01   0.186992E-07   0.450240E-06   0.186992E-07   0.675563E-09
  1658   0.363580E+03  -0.142055E+02   0.451620E-06  -0.142055E+02   0.611390E+01   0.174404E-07   0.451620E-06   0.174404E-07   0.674276E-09
  1659   0.362759E+03  -0.138764E+02   0.453031E-06  -0.138764E+02   0.609171E+01   0.161852E-07   0.453031E-06   0.161852E-07   0.672991E-09
  1660   0.361904E+03  -0.135490E+02   0.454473E-06  -0.135490E+02   0.607261E+01   0.149337E-07   0.454473E-06   0.149337E-07   0.671710E-09
  1661   0.361039E+03  -0.132243E+02   0.455944E-06  -0.132243E+02   0.605503E+01   0.136862E-07   0.455944E-06   0.136862E-07   0.670430E-09
  1662   0.360142E+03  -0.129017E+02   0.457444E-06  -0.129017E+02   0.604039E+01   0.124427E-07   0.457444E-06   0.124427E-07   0.669154E-09
  1663   0.359230E+03  -0.125798E+02   0.458973E-06  -0.125798E+02   0.602786E+01   0.112033E-07   0.458973E-06   0.112033E-07   0.667881E-09
  1664   0.358288E+03  -0.122602E+02   0.460531E-06  -0.122602E+02   0.601664E+01   0.996819E-08   0.460531E-06   0.996819E-08   0.666610E-09
