#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    87   0.171506E+04  -0.119694E+02   0.361273E-03  -0.119694E+02   0.553709E+00  -0.115189E-05   0.361273E-03  -0.115189E-05   0.136714E-06
    88   0.173468E+04  -0.124898E+02   0.356110E-03  -0.124898E+02   0.567987E+00  -0.122887E-05   0.356110E-03  -0.122887E-05   0.135830E-06
    89   0.175465E+04  -0.130169E+02   0.351058E-03  -0.130169E+02   0.582262E+00  -0.130979E-05   0.351058E-03  -0.130979E-05   0.134948E-06
    90   0.177482E+04  -0.135476E+02   0.346119E-03  -0.135476E+02   0.596496E+00  -0.138566E-05   0.346119E-03  -0.138566E-05   0.134067E-06
    91   0.179512E+04  -0.140828E+02   0.341292E-03  -0.140828E+02   0.610681E+00  -0.144913E-05   0.341292E-03  -0.144913E-05   0.133188E-06
    92   0.181571E+04  -0.146218E+02   0.336576E-03  -0.146218E+02   0.624802E+00  -0.149948E-05   0.336576E-03  -0.149948E-05   0.132310E-06
    93   0.183659E+04  -0.151646E+02   0.331968E-03  -0.151646E+02   0.638852E+00  -0.153761E-05   0.331968E-03  -0.153761E-05   0.131435E-06
    94   0.185752E+04  -0.157098E+02   0.327465E-03  -0.157098E+02   0.652794E+00  -0.156445E-05   0.327465E-03  -0.156445E-05   0.130562E-06
    95   0.187875E+04  -0.162582E+02   0.323066E-03  -0.162582E+02   0.666627E+00  -0.158091E-05   0.323066E-03  -0.158091E-05   0.129691E-06
    96   0.189995E+04  -0.168091E+02   0.318767E-03  -0.168091E+02   0.680339E+00  -0.158791E-05   0.318767E-03  -0.158791E-05   0.128822E-06
    97   0.192160E+04  -0.173617E+02   0.314566E-03  -0.173617E+02   0.693914E+00  -0.158637E-05   0.314566E-03  -0.158637E-05   0.127956E-06
    98   0.194345E+04  -0.179139E+02   0.310460E-03  -0.179139E+02   0.707345E+00  -0.157719E-05   0.310460E-03  -0.157719E-05   0.127093E-06
    99   0.196536E+04  -0.184687E+02   0.306446E-03  -0.184687E+02   0.720595E+00  -0.156131E-05   0.306446E-03  -0.156131E-05   0.126232E-06
   100   0.198756E+04  -0.190217E+02   0.302523E-03  -0.190217E+02   0.733664E+00  -0.153964E-05   0.302523E-03  -0.153964E-05   0.125374E-06
   101   0.200989E+04  -0.195760E+02   0.298687E-03  -0.195760E+02   0.746613E+00  -0.151309E-05   0.298687E-03  -0.151309E-05   0.124520E-06
   102   0.203273E+04  -0.201292E+02   0.294935E-03  -0.201292E+02   0.759293E+00  -0.148258E-05   0.294935E-03  -0.148258E-05   0.123668E-06
   103   0.205548E+04  -0.206823E+02   0.291266E-03  -0.206823E+02   0.771778E+00  -0.144903E-05   0.291266E-03  -0.144903E-05   0.122820E-06
   104   0.207844E+04  -0.212322E+02   0.287677E-03  -0.212322E+02   0.784069E+00  -0.141335E-05   0.287677E-03  -0.141335E-05   0.121976E-06
