#    L    TT             EE             BB             TE          
   167   0.359720E+04   0.773375E+00   0.707001E-04  -0.323892E+02
   168   0.361701E+04   0.762405E+00   0.692722E-04  -0.319477E+02
   169   0.363655E+04   0.751247E+00   0.679059E-04  -0.314821E+02
   170   0.365581E+04   0.740127E+00   0.666011E-04  -0.309940E+02
   171   0.367464E+04   0.729049E+00   0.653581E-04  -0.304813E+02
   172   0.369311E+04   0.717941E+00   0.641769E-04  -0.299455E+02
   173   0.371116E+04   0.706805E+00   0.630576E-04  -0.293866E+02
   174   0.372893E+04   0.695943E+00   0.620003E-04  -0.288047E+02
   175   0.374634E+04   0.685059E+00   0.610052E-04  -0.281993E+02
   176   0.376326E+04   0.674380E+00   0.600720E-04  -0.275702E+02
   177   0.377983E+04   0.663832E+00   0.591992E-04  -0.269193E+02
   178   0.379597E+04   0.653642E+00   0.583850E-04  -0.262449E+02
   179   0.381169E+04   0.643513E+00   0.576276E-04  -0.255474E+02
   180   0.382714E+04   0.633671E+00   0.569252E-04  -0.248283E+02
   181   0.384210E+04   0.624118E+00   0.562759E-04  -0.240878E+02
   182   0.385665E+04   0.614929E+00   0.556780E-04  -0.233243E+02
   183   0.387070E+04   0.606032E+00   0.551297E-04  -0.225397E+02
   184   0.388442E+04   0.597504E+00   0.546291E-04  -0.217332E+02
   185   0.389773E+04   0.589495E+00   0.541745E-04  -0.209072E+02
   186   0.391027E+04   0.581865E+00   0.537639E-04  -0.200588E+02
   187   0.392269E+04   0.574759E+00   0.533957E-04  -0.191897E+02
   188   0.393464E+04   0.568162E+00   0.530679E-04  -0.183015E+02
   189   0.394603E+04   0.562115E+00   0.527788E-04  -0.173927E+02
   190   0.395733E+04   0.556670E+00   0.525266E-04  -0.164658E+02
   191   0.396778E+04   0.551853E+00   0.523094E-04  -0.155179E+02
   192   0.397791E+04   0.547687E+00   0.521255E-04  -0.145513E+02
   193   0.398749E+04   0.544219E+00   0.519730E-04  -0.135677E+02
   194   0.399676E+04   0.541481E+00   0.518502E-04  -0.125649E+02
   195   0.400549E+04   0.539511E+00   0.517551E-04  -0.115454E+02
   196   0.401369E+04   0.538349E+00   0.516860E-04  -0.105083E+02
   197   0.402149E+04   0.538041E+00   0.516411E-04  -0.945551E+01
   198   0.402884E+04   0.538611E+00   0.516186E-04  -0.838623E+01
   199   0.403574E+04   0.540099E+00   0.516166E-04  -0.730137E+01
   200   0.404218E+04   0.542536E+00   0.516334E-04  -0.620179E+01
   201   0.404809E+04   0.545982E+00   0.516672E-04  -0.508685E+01
   202   0.405355E+04   0.550435E+00   0.517173E-04  -0.395805E+01
   203   0.405849E+04   0.555946E+00   0.517826E-04  -0.281465E+01
   204   0.406284E+04   0.562526E+00   0.518626E-04  -0.165961E+01
   205   0.406674E+04   0.570210E+00   0.519563E-04  -0.490698E+00
   206   0.407004E+04   0.579024E+00   0.520629E-04   0.690826E+00
   207   0.407291E+04   0.588982E+00   0.521818E-04   0.188452E+01
   208   0.407512E+04   0.600125E+00   0.523121E-04   0.308987E+01
   209   0.407681E+04   0.612465E+00   0.524530E-04   0.430652E+01
   210   0.407800E+04   0.626044E+00   0.526037E-04   0.553356E+01
   211   0.407867E+04   0.640882E+00   0.527634E-04   0.677095E+01
   212   0.407870E+04   0.656999E+00   0.529314E-04   0.801776E+01
   213   0.407829E+04   0.674428E+00   0.531068E-04   0.927403E+01
   214   0.407731E+04   0.693152E+00   0.532889E-04   0.105386E+02
   215   0.407583E+04   0.713355E+00   0.534768E-04   0.118106E+02
   216   0.407378E+04   0.734840E+00   0.536699E-04   0.130908E+02
   217   0.407131E+04   0.757754E+00   0.538672E-04   0.143769E+02
   218   0.406827E+04   0.782087E+00   0.540680E-04   0.156694E+02
   219   0.406474E+04   0.807827E+00   0.542715E-04   0.169691E+02
   220   0.406071E+04   0.835115E+00   0.544769E-04   0.182716E+02
   221   0.405620E+04   0.863865E+00   0.546835E-04   0.195791E+02
   222   0.405121E+04   0.894215E+00   0.548904E-04   0.208902E+02
   223   0.404558E+04   0.926083E+00   0.550969E-04   0.222055E+02
   224   0.403962E+04   0.959456E+00   0.553021E-04   0.235215E+02
   225   0.403310E+04   0.994475E+00   0.555052E-04   0.248410E+02
   226   0.402611E+04   0.103113E+01   0.557056E-04   0.261603E+02
   227   0.401857E+04   0.106941E+01   0.559023E-04   0.274810E+02
   228   0.401062E+04   0.110930E+01   0.560946E-04   0.288016E+02
   229   0.400221E+04   0.115087E+01   0.562817E-04   0.301206E+02
   230   0.399324E+04   0.119411E+01   0.564629E-04   0.314386E+02
   231   0.398374E+04   0.123908E+01   0.566372E-04   0.327551E+02
   232   0.397385E+04   0.128571E+01   0.568040E-04   0.340685E+02
   233   0.396349E+04   0.133419E+01   0.569625E-04   0.353773E+02
   234   0.395252E+04   0.138438E+01   0.571118E-04   0.366822E+02
   235   0.394116E+04   0.143633E+01   0.572511E-04   0.379819E+02
   236   0.392927E+04   0.149004E+01   0.573798E-04   0.392762E+02
   237   0.391693E+04   0.154557E+01   0.574969E-04   0.405638E+02
   238   0.390412E+04   0.160298E+01   0.576017E-04   0.418446E+02
   239   0.389095E+04   0.166213E+01   0.576934E-04   0.431179E+02
   240   0.387717E+04   0.172306E+01   0.577712E-04   0.443814E+02
