#    L    TT             EE             BB             TE          
   238   0.389556E+04   0.163356E+01   0.134221E-01   0.417203E+02
   239   0.388235E+04   0.169290E+01   0.135363E-01   0.429826E+02
   240   0.386854E+04   0.175401E+01   0.136503E-01   0.442350E+02
   241   0.385444E+04   0.181703E+01   0.137642E-01   0.454783E+02
   242   0.383990E+04   0.188181E+01   0.138779E-01   0.467117E+02
   243   0.382492E+04   0.194848E+01   0.139915E-01   0.479338E+02
   244   0.380949E+04   0.201696E+01   0.141048E-01   0.491453E+02
   245   0.379363E+04   0.208730E+01   0.142178E-01   0.503432E+02
   246   0.377741E+04   0.215951E+01   0.143306E-01   0.515290E+02
   247   0.376083E+04   0.223350E+01   0.144431E-01   0.527006E+02
   248   0.374382E+04   0.230962E+01   0.145554E-01   0.538579E+02
   249   0.372653E+04   0.238735E+01   0.146672E-01   0.550003E+02
   250   0.370882E+04   0.246712E+01   0.147788E-01   0.561261E+02
   251   0.369082E+04   0.254862E+01   0.148900E-01   0.572363E+02
   252   0.367233E+04   0.263206E+01   0.150008E-01   0.583295E+02
   253   0.365371E+04   0.271720E+01   0.151112E-01   0.594044E+02
   254   0.363467E+04   0.280432E+01   0.152212E-01   0.604614E+02
   255   0.361527E+04   0.289310E+01   0.153308E-01   0.615006E+02
   256   0.359560E+04   0.298391E+01   0.154399E-01   0.625223E+02
   257   0.357565E+04   0.307627E+01   0.155486E-01   0.635185E+02
   258   0.355535E+04   0.317055E+01   0.156568E-01   0.645021E+02
   259   0.353478E+04   0.326658E+01   0.157646E-01   0.654585E+02
   260   0.351401E+04   0.336433E+01   0.158718E-01   0.664027E+02
   261   0.349288E+04   0.346373E+01   0.159785E-01   0.673128E+02
   262   0.347140E+04   0.356497E+01   0.160847E-01   0.682112E+02
   263   0.344995E+04   0.366782E+01   0.161904E-01   0.690907E+02
   264   0.342807E+04   0.377233E+01   0.162955E-01   0.699441E+02
   265   0.340584E+04   0.387842E+01   0.164001E-01   0.707643E+02
   266   0.338348E+04   0.398628E+01   0.165041E-01   0.715737E+02
   267   0.336078E+04   0.409554E+01   0.166076E-01   0.723504E+02
   268   0.333787E+04   0.420654E+01   0.167105E-01   0.731094E+02
   269   0.331461E+04   0.431897E+01   0.168128E-01   0.738434E+02
   270   0.329129E+04   0.443290E+01   0.169145E-01   0.745528E+02
   271   0.326771E+04   0.454822E+01   0.170157E-01   0.752378E+02
   272   0.324406E+04   0.466523E+01   0.171162E-01   0.758911E+02
   273   0.322015E+04   0.478330E+01   0.172161E-01   0.765280E+02
   274   0.319610E+04   0.490302E+01   0.173155E-01   0.771262E+02
   275   0.317185E+04   0.502385E+01   0.174142E-01   0.777084E+02
   276   0.314755E+04   0.514600E+01   0.175124E-01   0.782525E+02
   277   0.312298E+04   0.526944E+01   0.176099E-01   0.787809E+02
   278   0.309834E+04   0.539410E+01   0.177068E-01   0.792718E+02
   279   0.307359E+04   0.551988E+01   0.178031E-01   0.797326E+02
   280   0.304870E+04   0.564675E+01   0.178988E-01   0.801786E+02
   281   0.302383E+04   0.577479E+01   0.179939E-01   0.805876E+02
   282   0.299869E+04   0.590368E+01   0.180884E-01   0.809673E+02
   283   0.297357E+04   0.603362E+01   0.181823E-01   0.813180E+02
   284   0.294839E+04   0.616452E+01   0.182756E-01   0.816399E+02
   285   0.292316E+04   0.629636E+01   0.183683E-01   0.819333E+02
   286   0.289780E+04   0.642899E+01   0.184604E-01   0.821908E+02
   287   0.287239E+04   0.656239E+01   0.185519E-01   0.824277E+02
   288   0.284700E+04   0.669653E+01   0.186429E-01   0.826292E+02
   289   0.282155E+04   0.683134E+01   0.187332E-01   0.828032E+02
   290   0.279612E+04   0.696663E+01   0.188230E-01   0.829497E+02
   291   0.277072E+04   0.710315E+01   0.189122E-01   0.830542E+02
   292   0.274503E+04   0.723976E+01   0.190008E-01   0.831392E+02
   293   0.271966E+04   0.737607E+01   0.190889E-01   0.831827E+02
   294   0.269417E+04   0.751356E+01   0.191764E-01   0.832071E+02
   295   0.266891E+04   0.765071E+01   0.192633E-01   0.831904E+02
   296   0.264353E+04   0.778901E+01   0.193497E-01   0.831477E+02
   297   0.261824E+04   0.792620E+01   0.194356E-01   0.830792E+02
   298   0.259289E+04   0.806450E+01   0.195209E-01   0.829704E+02
   299   0.256771E+04   0.820315E+01   0.196057E-01   0.828288E+02
   300   0.254255E+04   0.834065E+01   0.196900E-01   0.826547E+02
   301   0.251749E+04   0.847847E+01   0.197737E-01   0.824558E+02
   302   0.249258E+04   0.861588E+01   0.198570E-01   0.822324E+02
   303   0.246777E+04   0.875362E+01   0.199397E-01   0.819697E+02
   304   0.244304E+04   0.889171E+01   0.200220E-01   0.816682E+02
   305   0.241846E+04   0.902867E+01   0.201038E-01   0.813429E+02
   306   0.239396E+04   0.916525E+01   0.201850E-01   0.809866E+02
   307   0.236961E+04   0.930146E+01   0.202658E-01   0.805922E+02
   308   0.234541E+04   0.943880E+01   0.203462E-01   0.801822E+02
   309   0.232142E+04   0.957430E+01   0.204261E-01   0.797271E+02
   310   0.229749E+04   0.970871E+01   0.205055E-01   0.792496E+02
   311   0.227378E+04   0.984428E+01   0.205845E-01   0.787350E+02
   312   0.225028E+04   0.997804E+01   0.206630E-01   0.781985E+02
   313   0.222690E+04   0.101115E+02   0.207411E-01   0.776253E+02
   314   0.220373E+04   0.102446E+02   0.208188E-01   0.770307E+02
   315   0.218075E+04   0.103760E+02   0.208961E-01   0.764001E+02
   316   0.215797E+04   0.105071E+02   0.209730E-01   0.757411E+02
   317   0.213538E+04   0.106364E+02   0.210496E-01   0.750540E+02
   318   0.211297E+04   0.107662E+02   0.211257E-01   0.743391E+02
   319   0.209083E+04   0.108943E+02   0.212015E-01   0.735966E+02
   320   0.206895E+04   0.110213E+02   0.212770E-01   0.728342E+02
   321   0.204724E+04   0.111482E+02   0.213521E-01   0.720372E+02
   322   0.202578E+04   0.112725E+02   0.214269E-01   0.712135E+02
   323   0.200457E+04   0.113959E+02   0.215013E-01   0.703632E+02
   324   0.198361E+04   0.115192E+02   0.215755E-01   0.694792E+02
   325   0.196296E+04   0.116385E+02   0.216495E-01   0.685840E+02
   326   0.194247E+04   0.117583E+02   0.217231E-01   0.676481E+02
   327   0.192229E+04   0.118765E+02   0.217965E-01   0.666942E+02
   328   0.190242E+04   0.119923E+02   0.218697E-01   0.657224E+02
   329   0.188277E+04   0.121072E+02   0.219427E-01   0.647181E+02
   330   0.186343E+04   0.122197E+02   0.220155E-01   0.636891E+02
   331   0.184445E+04   0.123306E+02   0.220881E-01   0.626429E+02
   332   0.182569E+04   0.124406E+02   0.221606E-01   0.615800E+02
   333   0.180723E+04   0.125483E+02   0.222330E-01   0.604930E+02
   334   0.178912E+04   0.126544E+02   0.223052E-01   0.593823E+02
   335   0.177122E+04   0.127574E+02   0.223774E-01   0.582481E+02
   336   0.175368E+04   0.128588E+02   0.224494E-01   0.570980E+02
   337   0.173649E+04   0.129587E+02   0.225215E-01   0.559176E+02
