#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    93   0.192842E+04  -0.159229E+02   0.339470E-03  -0.159229E+02   0.670794E+00  -0.161465E-05   0.339470E-03  -0.161465E-05   0.127817E-06
    94   0.195041E+04  -0.164954E+02   0.334866E-03  -0.164954E+02   0.685433E+00  -0.164282E-05   0.334866E-03  -0.164282E-05   0.126937E-06
    95   0.197269E+04  -0.170712E+02   0.330369E-03  -0.170712E+02   0.699959E+00  -0.166009E-05   0.330369E-03  -0.166009E-05   0.126061E-06
    96   0.199497E+04  -0.176496E+02   0.325975E-03  -0.176496E+02   0.714356E+00  -0.166743E-05   0.325975E-03  -0.166743E-05   0.125187E-06
    97   0.201769E+04  -0.182299E+02   0.321683E-03  -0.182299E+02   0.728610E+00  -0.166580E-05   0.321683E-03  -0.166580E-05   0.124317E-06
    98   0.204063E+04  -0.188098E+02   0.317489E-03  -0.188098E+02   0.742713E+00  -0.165616E-05   0.317489E-03  -0.165616E-05   0.123450E-06
    99   0.206365E+04  -0.193923E+02   0.313391E-03  -0.193923E+02   0.756627E+00  -0.163949E-05   0.313391E-03  -0.163949E-05   0.122586E-06
   100   0.208695E+04  -0.199731E+02   0.309386E-03  -0.199731E+02   0.770352E+00  -0.161673E-05   0.309386E-03  -0.161673E-05   0.121726E-06
   101   0.211040E+04  -0.205550E+02   0.305471E-03  -0.205550E+02   0.783947E+00  -0.158885E-05   0.305471E-03  -0.158885E-05   0.120870E-06
   102   0.213437E+04  -0.211359E+02   0.301643E-03  -0.211359E+02   0.797262E+00  -0.155682E-05   0.301643E-03  -0.155682E-05   0.120017E-06
   103   0.215825E+04  -0.217166E+02   0.297900E-03  -0.217166E+02   0.810372E+00  -0.152160E-05   0.297900E-03  -0.152160E-05   0.119168E-06
   104   0.218236E+04  -0.222941E+02   0.294239E-03  -0.222941E+02   0.823277E+00  -0.148414E-05   0.294239E-03  -0.148414E-05   0.118323E-06
   105   0.220660E+04  -0.228698E+02   0.290658E-03  -0.228698E+02   0.835901E+00  -0.144542E-05   0.290658E-03  -0.144542E-05   0.117482E-06
   106   0.223107E+04  -0.234432E+02   0.287153E-03  -0.234432E+02   0.848318E+00  -0.140640E-05   0.287153E-03  -0.140640E-05   0.116646E-06
   107   0.225545E+04  -0.240126E+02   0.283722E-03  -0.240126E+02   0.860381E+00  -0.136803E-05   0.283722E-03  -0.136803E-05   0.115814E-06
   108   0.228020E+04  -0.245790E+02   0.280362E-03  -0.245790E+02   0.872161E+00  -0.133129E-05   0.280362E-03  -0.133129E-05   0.114986E-06
   109   0.230508E+04  -0.251407E+02   0.277070E-03  -0.251407E+02   0.883586E+00  -0.129713E-05   0.277070E-03  -0.129713E-05   0.114163E-06
   110   0.233004E+04  -0.256965E+02   0.273844E-03  -0.256965E+02   0.894654E+00  -0.126651E-05   0.273844E-03  -0.126651E-05   0.113344E-06
   111   0.235513E+04  -0.262476E+02   0.270681E-03  -0.262476E+02   0.905439E+00  -0.124019E-05   0.270681E-03  -0.124019E-05   0.112531E-06
   112   0.238037E+04  -0.267935E+02   0.267579E-03  -0.267935E+02   0.915869E+00  -0.121803E-05   0.267579E-03  -0.121803E-05   0.111722E-06
   113   0.240583E+04  -0.273326E+02   0.264537E-03  -0.273326E+02   0.925943E+00  -0.119970E-05   0.264537E-03  -0.119970E-05   0.110918E-06
   114   0.243135E+04  -0.278642E+02   0.261553E-03  -0.278642E+02   0.935590E+00  -0.118485E-05   0.261553E-03  -0.118485E-05   0.110119E-06
   115   0.245710E+04  -0.283884E+02   0.258625E-03  -0.283884E+02   0.944959E+00  -0.117314E-05   0.258625E-03  -0.117314E-05   0.109324E-06
   116   0.248285E+04  -0.289044E+02   0.255752E-03  -0.289044E+02   0.953827E+00  -0.116422E-05   0.255752E-03  -0.116422E-05   0.108535E-06
   117   0.250889E+04  -0.294114E+02   0.252932E-03  -0.294114E+02   0.962270E+00  -0.115776E-05   0.252932E-03  -0.115776E-05   0.107750E-06
