#    L    TT             EE             BB             TE          
   160   0.362260E+04   0.894590E+00   0.536727E-02  -0.364150E+02
   161   0.364529E+04   0.884324E+00   0.544186E-02  -0.361187E+02
   162   0.366768E+04   0.873773E+00   0.551735E-02  -0.357990E+02
   163   0.368993E+04   0.863015E+00   0.559373E-02  -0.354544E+02
   164   0.371173E+04   0.852129E+00   0.567099E-02  -0.350867E+02
   165   0.373338E+04   0.841043E+00   0.574914E-02  -0.346935E+02
   166   0.375474E+04   0.829911E+00   0.582818E-02  -0.342764E+02
   167   0.377587E+04   0.818514E+00   0.590810E-02  -0.338364E+02
   168   0.379656E+04   0.807227E+00   0.598890E-02  -0.333711E+02
   169   0.381695E+04   0.795757E+00   0.607057E-02  -0.328807E+02
   170   0.383705E+04   0.784330E+00   0.615311E-02  -0.323667E+02
   171   0.385670E+04   0.772951E+00   0.623653E-02  -0.318271E+02
   172   0.387597E+04   0.761549E+00   0.632080E-02  -0.312633E+02
   173   0.389480E+04   0.750128E+00   0.640592E-02  -0.306753E+02
   174   0.391334E+04   0.738990E+00   0.649190E-02  -0.300634E+02
   175   0.393150E+04   0.727840E+00   0.657872E-02  -0.294268E+02
   176   0.394914E+04   0.716907E+00   0.666637E-02  -0.287656E+02
   177   0.396641E+04   0.706118E+00   0.675484E-02  -0.280814E+02
   178   0.398324E+04   0.695701E+00   0.684413E-02  -0.273729E+02
   179   0.399962E+04   0.685363E+00   0.693422E-02  -0.266401E+02
   180   0.401572E+04   0.675329E+00   0.702510E-02  -0.258848E+02
   181   0.403130E+04   0.665604E+00   0.711676E-02  -0.251071E+02
   182   0.404645E+04   0.656266E+00   0.720918E-02  -0.243056E+02
   183   0.406108E+04   0.647244E+00   0.730236E-02  -0.234819E+02
   184   0.407536E+04   0.638615E+00   0.739629E-02  -0.226355E+02
   185   0.408921E+04   0.630533E+00   0.749094E-02  -0.217687E+02
   186   0.410225E+04   0.622860E+00   0.758631E-02  -0.208787E+02
   187   0.411517E+04   0.615740E+00   0.768239E-02  -0.199670E+02
   188   0.412758E+04   0.609163E+00   0.777915E-02  -0.190354E+02
   189   0.413943E+04   0.603168E+00   0.787660E-02  -0.180825E+02
   190   0.415114E+04   0.597813E+00   0.797470E-02  -0.171106E+02
   191   0.416199E+04   0.593122E+00   0.807346E-02  -0.161169E+02
   192   0.417250E+04   0.589121E+00   0.817286E-02  -0.151038E+02
   193   0.418244E+04   0.585859E+00   0.827287E-02  -0.140728E+02
   194   0.419203E+04   0.583369E+00   0.837350E-02  -0.130220E+02
   195   0.420107E+04   0.581692E+00   0.847472E-02  -0.119537E+02
   196   0.420954E+04   0.580868E+00   0.857653E-02  -0.108672E+02
   197   0.421760E+04   0.580946E+00   0.867890E-02  -0.976428E+01
   198   0.422518E+04   0.581951E+00   0.878183E-02  -0.864420E+01
