#    L    TT             EE             TE             PP             TP          
   137   0.304235E+04   0.103561E+01  -0.369869E+02   0.428371E+07   0.347600E+04
   138   0.306913E+04   0.103404E+01  -0.372008E+02   0.425299E+07   0.344157E+04
   139   0.309570E+04   0.103210E+01  -0.373954E+02   0.422250E+07   0.340760E+04
   140   0.312235E+04   0.102957E+01  -0.375716E+02   0.419223E+07   0.337408E+04
   141   0.314880E+04   0.102651E+01  -0.377272E+02   0.416217E+07   0.334102E+04
   142   0.317526E+04   0.102300E+01  -0.378630E+02   0.413233E+07   0.330840E+04
   143   0.320166E+04   0.101906E+01  -0.379791E+02   0.410271E+07   0.327623E+04
   144   0.322784E+04   0.101461E+01  -0.380749E+02   0.407331E+07   0.324449E+04
   145   0.325389E+04   0.100980E+01  -0.381497E+02   0.404412E+07   0.321319E+04
   146   0.328002E+04   0.100442E+01  -0.382036E+02   0.401515E+07   0.318232E+04
   147   0.330578E+04   0.998688E+00  -0.382351E+02   0.398639E+07   0.315187E+04
   148   0.333141E+04   0.992460E+00  -0.382459E+02   0.395785E+07   0.312185E+04
   149   0.335697E+04   0.985816E+00  -0.382345E+02   0.392952E+07   0.309224E+04
   150   0.338223E+04   0.978833E+00  -0.381988E+02   0.390140E+07   0.306304E+04
   151   0.340736E+04   0.971442E+00  -0.381419E+02   0.387350E+07   0.303425E+04
   152   0.343219E+04   0.963572E+00  -0.380623E+02   0.384580E+07   0.300586E+04
   153   0.345688E+04   0.955374E+00  -0.379578E+02   0.381832E+07   0.297786E+04
   154   0.348135E+04   0.946854E+00  -0.378309E+02   0.379105E+07   0.295024E+04
   155   0.350560E+04   0.938015E+00  -0.376807E+02   0.376398E+07   0.292299E+04
   156   0.352949E+04   0.928861E+00  -0.375073E+02   0.373712E+07   0.289611E+04
   157   0.355330E+04   0.919396E+00  -0.373095E+02   0.371047E+07   0.286958E+04
   158   0.357682E+04   0.909698E+00  -0.370878E+02   0.368403E+07   0.284340E+04
   159   0.360005E+04   0.899622E+00  -0.368425E+02   0.365779E+07   0.281756E+04
   160   0.362306E+04   0.889322E+00  -0.365721E+02   0.363176E+07   0.279204E+04
   161   0.364585E+04   0.878875E+00  -0.362782E+02   0.360592E+07   0.276685E+04
   162   0.366834E+04   0.868136E+00  -0.359607E+02   0.358029E+07   0.274196E+04
   163   0.369069E+04   0.857184E+00  -0.356184E+02   0.355486E+07   0.271738E+04
   164   0.371260E+04   0.846097E+00  -0.352528E+02   0.352964E+07   0.269309E+04
   165   0.373436E+04   0.834805E+00  -0.348617E+02   0.350461E+07   0.266909E+04
   166   0.375583E+04   0.823460E+00  -0.344466E+02   0.347977E+07   0.264537E+04
   167   0.377707E+04   0.811843E+00  -0.340084E+02   0.345514E+07   0.262191E+04
   168   0.379787E+04   0.800330E+00  -0.335449E+02   0.343070E+07   0.259871E+04
   169   0.381838E+04   0.788627E+00  -0.330561E+02   0.340646E+07   0.257576E+04
   170   0.383859E+04   0.776961E+00  -0.325437E+02   0.338242E+07   0.255306E+04
   171   0.385836E+04   0.765337E+00  -0.320055E+02   0.335856E+07   0.253058E+04
   172   0.387775E+04   0.753683E+00  -0.314430E+02   0.333490E+07   0.250833E+04
   173   0.389670E+04   0.742003E+00  -0.308563E+02   0.331143E+07   0.248630E+04
   174   0.391536E+04   0.730600E+00  -0.302455E+02   0.328816E+07   0.246447E+04
   175   0.393364E+04   0.719179E+00  -0.296099E+02   0.326507E+07   0.244284E+04
   176   0.395141E+04   0.707967E+00  -0.289495E+02   0.324217E+07   0.242139E+04
   177   0.396880E+04   0.696894E+00  -0.282660E+02   0.321946E+07   0.240014E+04
   178   0.398576E+04   0.686186E+00  -0.275580E+02   0.319693E+07   0.237908E+04
   179   0.400227E+04   0.675551E+00  -0.268257E+02   0.317459E+07   0.235820E+04
   180   0.401849E+04   0.665214E+00  -0.260707E+02   0.315244E+07   0.233751E+04
   181   0.403420E+04   0.655179E+00  -0.252931E+02   0.313046E+07   0.231700E+04
   182   0.404948E+04   0.645525E+00  -0.244916E+02   0.310867E+07   0.229668E+04
   183   0.406424E+04   0.636182E+00  -0.236678E+02   0.308705E+07   0.227654E+04
