#    L    TT             EE             BB             TE             PP             TP             EP          
  2983   0.147821E+02   0.696454E+00   0.167678E-07  -0.924524E+00   0.120325E-09   0.193378E-06  -0.392312E-08
  2984   0.147556E+02   0.695879E+00   0.166851E-07  -0.931534E+00   0.120203E-09   0.193296E-06  -0.390530E-08
  2985   0.147294E+02   0.695209E+00   0.166027E-07  -0.938417E+00   0.120081E-09   0.193211E-06  -0.388703E-08
  2986   0.147036E+02   0.694517E+00   0.165207E-07  -0.945315E+00   0.119960E-09   0.193124E-06  -0.386831E-08
  2987   0.146790E+02   0.693726E+00   0.164390E-07  -0.952219E+00   0.119839E-09   0.193035E-06  -0.384916E-08
  2988   0.146547E+02   0.692835E+00   0.163576E-07  -0.958822E+00   0.119718E-09   0.192944E-06  -0.382958E-08
  2989   0.146307E+02   0.692063E+00   0.162765E-07  -0.965489E+00   0.119597E-09   0.192850E-06  -0.380956E-08
  2990   0.146079E+02   0.691113E+00   0.161957E-07  -0.972136E+00   0.119476E-09   0.192754E-06  -0.378912E-08
  2991   0.145848E+02   0.690055E+00   0.161153E-07  -0.978681E+00   0.119356E-09   0.192655E-06  -0.376826E-08
  2992   0.145620E+02   0.689111E+00   0.160352E-07  -0.985116E+00   0.119235E-09   0.192554E-06  -0.374698E-08
  2993   0.145404E+02   0.687981E+00   0.159555E-07  -0.991505E+00   0.119115E-09   0.192451E-06  -0.372528E-08
  2994   0.145185E+02   0.686739E+00   0.158760E-07  -0.997841E+00   0.118995E-09   0.192345E-06  -0.370318E-08
  2995   0.144977E+02   0.685603E+00   0.157969E-07  -0.100389E+01   0.118875E-09   0.192237E-06  -0.368068E-08
  2996   0.144781E+02   0.684351E+00   0.157181E-07  -0.101010E+01   0.118755E-09   0.192127E-06  -0.365777E-08
  2997   0.144581E+02   0.682979E+00   0.156396E-07  -0.101600E+01   0.118635E-09   0.192014E-06  -0.363447E-08
  2998   0.144386E+02   0.681560E+00   0.155615E-07  -0.102204E+01   0.118516E-09   0.191899E-06  -0.361077E-08
  2999   0.144196E+02   0.680091E+00   0.154836E-07  -0.102775E+01   0.118397E-09   0.191782E-06  -0.358669E-08
  3000   0.144018E+02   0.678571E+00   0.154061E-07  -0.103344E+01   0.118277E-09   0.191662E-06  -0.356223E-08
  3001   0.143844E+02   0.676924E+00   0.153289E-07  -0.103902E+01   0.118158E-09   0.191540E-06  -0.353738E-08
  3002   0.143674E+02   0.675298E+00   0.152521E-07  -0.104448E+01   0.118039E-09   0.191415E-06  -0.351216E-08
  3003   0.143501E+02   0.673546E+00   0.151755E-07  -0.104989E+01   0.117921E-09   0.191288E-06  -0.348658E-08
  3004   0.143340E+02   0.671741E+00   0.150993E-07  -0.105508E+01   0.117802E-09   0.191159E-06  -0.346063E-08
  3005   0.143183E+02   0.669960E+00   0.150234E-07  -0.106015E+01   0.117683E-09   0.191027E-06  -0.343433E-08
  3006   0.143036E+02   0.668055E+00   0.149478E-07  -0.106513E+01   0.117565E-09   0.190893E-06  -0.340769E-08
  3007   0.142886E+02   0.666099E+00   0.148725E-07  -0.107004E+01   0.117447E-09   0.190757E-06  -0.338069E-08
  3008   0.142747E+02   0.664019E+00   0.147975E-07  -0.107480E+01   0.117329E-09   0.190618E-06  -0.335336E-08
  3009   0.142603E+02   0.662002E+00   0.147229E-07  -0.107946E+01   0.117211E-09   0.190477E-06  -0.332570E-08
  3010   0.142470E+02   0.659952E+00   0.146486E-07  -0.108394E+01   0.117093E-09   0.190334E-06  -0.329771E-08
  3011   0.142340E+02   0.657773E+00   0.145745E-07  -0.108833E+01   0.116975E-09   0.190189E-06  -0.326941E-08
  3012   0.142212E+02   0.655568E+00   0.145008E-07  -0.109260E+01   0.116858E-09   0.190042E-06  -0.324079E-08
  3013   0.142080E+02   0.653310E+00   0.144274E-07  -0.109668E+01   0.116741E-09   0.189892E-06  -0.321186E-08
  3014   0.141964E+02   0.651035E+00   0.143543E-07  -0.110070E+01   0.116623E-09   0.189740E-06  -0.318264E-08
  3015   0.141836E+02   0.648686E+00   0.142815E-07  -0.110453E+01   0.116506E-09   0.189586E-06  -0.315312E-08
  3016   0.141725E+02   0.646299E+00   0.142090E-07  -0.110836E+01   0.116390E-09   0.189429E-06  -0.312330E-08
  3017   0.141601E+02   0.643875E+00   0.141368E-07  -0.111190E+01   0.116273E-09   0.189271E-06  -0.309321E-08
  3018   0.141493E+02   0.641401E+00   0.140649E-07  -0.111544E+01   0.116156E-09   0.189110E-06  -0.306284E-08
  3019   0.141379E+02   0.638876E+00   0.139933E-07  -0.111874E+01   0.116040E-09   0.188947E-06  -0.303219E-08
  3020   0.141274E+02   0.636331E+00   0.139220E-07  -0.112196E+01   0.115923E-09   0.188783E-06  -0.300129E-08
  3021   0.141155E+02   0.633751E+00   0.138510E-07  -0.112507E+01   0.115807E-09   0.188616E-06  -0.297012E-08
  3022   0.141052E+02   0.631131E+00   0.137803E-07  -0.112801E+01   0.115691E-09   0.188446E-06  -0.293870E-08
  3023   0.140935E+02   0.628484E+00   0.137099E-07  -0.113077E+01   0.115575E-09   0.188275E-06  -0.290703E-08
  3024   0.140834E+02   0.625797E+00   0.136398E-07  -0.113333E+01   0.115460E-09   0.188102E-06  -0.287512E-08
  3025   0.140740E+02   0.623079E+00   0.135700E-07  -0.113584E+01   0.115344E-09   0.187927E-06  -0.284297E-08
  3026   0.140654E+02   0.620336E+00   0.135004E-07  -0.113815E+01   0.115229E-09   0.187750E-06  -0.281060E-08
  3027   0.140553E+02   0.617555E+00   0.134312E-07  -0.114033E+01   0.115113E-09   0.187570E-06  -0.277800E-08
  3028   0.140452E+02   0.614751E+00   0.133623E-07  -0.114235E+01   0.114998E-09   0.187389E-06  -0.274519E-08
  3029   0.140351E+02   0.611917E+00   0.132936E-07  -0.114431E+01   0.114883E-09   0.187206E-06  -0.271216E-08
  3030   0.140256E+02   0.609061E+00   0.132253E-07  -0.114603E+01   0.114768E-09   0.187020E-06  -0.267893E-08
  3031   0.140161E+02   0.606163E+00   0.131572E-07  -0.114766E+01   0.114653E-09   0.186833E-06  -0.264550E-08
  3032   0.140066E+02   0.603250E+00   0.130894E-07  -0.114912E+01   0.114539E-09   0.186644E-06  -0.261188E-08
  3033   0.139969E+02   0.600296E+00   0.130219E-07  -0.115041E+01   0.114424E-09   0.186453E-06  -0.257807E-08
  3034   0.139871E+02   0.597337E+00   0.129547E-07  -0.115151E+01   0.114310E-09   0.186260E-06  -0.254407E-08
  3035   0.139780E+02   0.594352E+00   0.128877E-07  -0.115249E+01   0.114196E-09   0.186065E-06  -0.250990E-08
  3036   0.139686E+02   0.591334E+00   0.128211E-07  -0.115321E+01   0.114082E-09   0.185868E-06  -0.247557E-08
  3037   0.139584E+02   0.588298E+00   0.127547E-07  -0.115387E+01   0.113968E-09   0.185669E-06  -0.244107E-08
  3038   0.139495E+02   0.585237E+00   0.126886E-07  -0.115432E+01   0.113854E-09   0.185468E-06  -0.240641E-08
  3039   0.139396E+02   0.582145E+00   0.126228E-07  -0.115470E+01   0.113740E-09   0.185266E-06  -0.237160E-08
  3040   0.139303E+02   0.579045E+00   0.125572E-07  -0.115486E+01   0.113627E-09   0.185062E-06  -0.233664E-08
  3041   0.139200E+02   0.575922E+00   0.124920E-07  -0.115478E+01   0.113514E-09   0.184856E-06  -0.230155E-08
  3042   0.139109E+02   0.572777E+00   0.124270E-07  -0.115462E+01   0.113400E-09   0.184648E-06  -0.226632E-08
  3043   0.139001E+02   0.569610E+00   0.123622E-07  -0.115422E+01   0.113287E-09   0.184438E-06  -0.223097E-08
  3044   0.138897E+02   0.566437E+00   0.122978E-07  -0.115364E+01   0.113174E-09   0.184226E-06  -0.219549E-08
  3045   0.138798E+02   0.563228E+00   0.122336E-07  -0.115295E+01   0.113062E-09   0.184013E-06  -0.215990E-08
  3046   0.138695E+02   0.560015E+00   0.121697E-07  -0.115200E+01   0.112949E-09   0.183798E-06  -0.212420E-08
  3047   0.138596E+02   0.556775E+00   0.121061E-07  -0.115092E+01   0.112836E-09   0.183581E-06  -0.208839E-08
  3048   0.138494E+02   0.553508E+00   0.120427E-07  -0.114957E+01   0.112724E-09   0.183363E-06  -0.205249E-08
  3049   0.138388E+02   0.550239E+00   0.119796E-07  -0.114809E+01   0.112612E-09   0.183143E-06  -0.201650E-08
  3050   0.138286E+02   0.546952E+00   0.119167E-07  -0.114646E+01   0.112500E-09   0.182921E-06  -0.198042E-08
  3051   0.138165E+02   0.543641E+00   0.118542E-07  -0.114454E+01   0.112388E-09   0.182697E-06  -0.194426E-08
  3052   0.138062E+02   0.540307E+00   0.117919E-07  -0.114247E+01   0.112276E-09   0.182472E-06  -0.190803E-08
  3053   0.137947E+02   0.536975E+00   0.117298E-07  -0.114018E+01   0.112164E-09   0.182245E-06  -0.187172E-08
  3054   0.137842E+02   0.533618E+00   0.116680E-07  -0.113781E+01   0.112053E-09   0.182017E-06  -0.183535E-08
  3055   0.137732E+02   0.530251E+00   0.116065E-07  -0.113523E+01   0.111941E-09   0.181787E-06  -0.179891E-08
  3056   0.137617E+02   0.526877E+00   0.115452E-07  -0.113242E+01   0.111830E-09   0.181555E-06  -0.176241E-08
  3057   0.137497E+02   0.523491E+00   0.114842E-07  -0.112946E+01   0.111719E-09   0.181322E-06  -0.172586E-08
  3058   0.137379E+02   0.520101E+00   0.114235E-07  -0.112644E+01   0.111608E-09   0.181087E-06  -0.168926E-08
  3059   0.137255E+02   0.516703E+00   0.113630E-07  -0.112311E+01   0.111497E-09   0.180851E-06  -0.165261E-08
  3060   0.137133E+02   0.513298E+00   0.113027E-07  -0.111964E+01   0.111386E-09   0.180613E-06  -0.161592E-08
  3061   0.137005E+02   0.509896E+00   0.112428E-07  -0.111610E+01   0.111275E-09   0.180374E-06  -0.157919E-08
  3062   0.136886E+02   0.506499E+00   0.111830E-07  -0.111241E+01   0.111165E-09   0.180133E-06  -0.154242E-08
  3063   0.136760E+02   0.503078E+00   0.111236E-07  -0.110843E+01   0.111055E-09   0.179891E-06  -0.150562E-08
  3064   0.136621E+02   0.499681E+00   0.110644E-07  -0.110438E+01   0.110944E-09   0.179647E-06  -0.146880E-08
  3065   0.136489E+02   0.496273E+00   0.110054E-07  -0.110018E+01   0.110834E-09   0.179402E-06  -0.143195E-08
  3066   0.136350E+02   0.492877E+00   0.109467E-07  -0.109590E+01   0.110724E-09   0.179155E-06  -0.139508E-08
  3067   0.136212E+02   0.489481E+00   0.108883E-07  -0.109149E+01   0.110615E-09   0.178907E-06  -0.135820E-08
  3068   0.136074E+02   0.486101E+00   0.108301E-07  -0.108685E+01   0.110505E-09   0.178658E-06  -0.132131E-08
  3069   0.135928E+02   0.482717E+00   0.107722E-07  -0.108222E+01   0.110395E-09   0.178408E-06  -0.128441E-08
  3070   0.135775E+02   0.479339E+00   0.107145E-07  -0.107737E+01   0.110286E-09   0.178156E-06  -0.124751E-08
  3071   0.135621E+02   0.475969E+00   0.106570E-07  -0.107237E+01   0.110177E-09   0.177903E-06  -0.121061E-08
  3072   0.135466E+02   0.472616E+00   0.105998E-07  -0.106738E+01   0.110068E-09   0.177648E-06  -0.117371E-08
  3073   0.135310E+02   0.469266E+00   0.105429E-07  -0.106217E+01   0.109959E-09   0.177393E-06  -0.113682E-08
  3074   0.135154E+02   0.465931E+00   0.104862E-07  -0.105689E+01   0.109850E-09   0.177136E-06  -0.109995E-08
  3075   0.134989E+02   0.462610E+00   0.104298E-07  -0.105139E+01   0.109741E-09   0.176877E-06  -0.106310E-08
  3076   0.134829E+02   0.459307E+00   0.103736E-07  -0.104589E+01   0.109632E-09   0.176618E-06  -0.102626E-08
  3077   0.134654E+02   0.456016E+00   0.103177E-07  -0.104025E+01   0.109524E-09   0.176358E-06  -0.989452E-09
  3078   0.134491E+02   0.452739E+00   0.102620E-07  -0.103447E+01   0.109416E-09   0.176096E-06  -0.952672E-09
  3079   0.134311E+02   0.449486E+00   0.102065E-07  -0.102862E+01   0.109307E-09   0.175833E-06  -0.915926E-09
  3080   0.134137E+02   0.446242E+00   0.101513E-07  -0.102270E+01   0.109199E-09   0.175569E-06  -0.879217E-09
  3081   0.133952E+02   0.443019E+00   0.100964E-07  -0.101660E+01   0.109091E-09   0.175304E-06  -0.842550E-09
  3082   0.133766E+02   0.439817E+00   0.100416E-07  -0.101047E+01   0.108983E-09   0.175038E-06  -0.805928E-09
  3083   0.133576E+02   0.436647E+00   0.998718E-08  -0.100421E+01   0.108876E-09   0.174770E-06  -0.769356E-09
  3084   0.133391E+02   0.433488E+00   0.993295E-08  -0.997829E+00   0.108768E-09   0.174502E-06  -0.732838E-09
  3085   0.133187E+02   0.430349E+00   0.987897E-08  -0.991397E+00   0.108661E-09   0.174233E-06  -0.696377E-09
  3086   0.132988E+02   0.427232E+00   0.982523E-08  -0.984851E+00   0.108553E-09   0.173962E-06  -0.659978E-09
  3087   0.132786E+02   0.424139E+00   0.977172E-08  -0.978231E+00   0.108446E-09   0.173691E-06  -0.623645E-09
  3088   0.132579E+02   0.421080E+00   0.971846E-08  -0.971514E+00   0.108339E-09   0.173419E-06  -0.587381E-09
  3089   0.132369E+02   0.418049E+00   0.966544E-08  -0.964714E+00   0.108232E-09   0.173146E-06  -0.551192E-09
  3090   0.132147E+02   0.415034E+00   0.961266E-08  -0.957824E+00   0.108126E-09   0.172871E-06  -0.515080E-09
  3091   0.131935E+02   0.412043E+00   0.956012E-08  -0.950853E+00   0.108019E-09   0.172596E-06  -0.479050E-09
  3092   0.131704E+02   0.409093E+00   0.950781E-08  -0.943785E+00   0.107912E-09   0.172320E-06  -0.443106E-09
  3093   0.131476E+02   0.406165E+00   0.945574E-08  -0.936644E+00   0.107806E-09   0.172043E-06  -0.407252E-09
  3094   0.131243E+02   0.403275E+00   0.940391E-08  -0.929406E+00   0.107700E-09   0.171766E-06  -0.371491E-09
  3095   0.131005E+02   0.400403E+00   0.935231E-08  -0.922094E+00   0.107594E-09   0.171487E-06  -0.335829E-09
  3096   0.130761E+02   0.397565E+00   0.930095E-08  -0.914693E+00   0.107488E-09   0.171208E-06  -0.300269E-09
  3097   0.130520E+02   0.394763E+00   0.924983E-08  -0.907212E+00   0.107382E-09   0.170927E-06  -0.264815E-09
  3098   0.130265E+02   0.391993E+00   0.919893E-08  -0.899650E+00   0.107276E-09   0.170646E-06  -0.229471E-09
  3099   0.130012E+02   0.389256E+00   0.914827E-08  -0.892008E+00   0.107170E-09   0.170365E-06  -0.194241E-09
  3100   0.129753E+02   0.386553E+00   0.909785E-08  -0.884285E+00   0.107065E-09   0.170082E-06  -0.159130E-09
  3101   0.129488E+02   0.383881E+00   0.904766E-08  -0.876483E+00   0.106959E-09   0.169799E-06  -0.124140E-09
  3102   0.129224E+02   0.381253E+00   0.899769E-08  -0.868605E+00   0.106854E-09   0.169515E-06  -0.892762E-10
  3103   0.128946E+02   0.378651E+00   0.894796E-08  -0.860657E+00   0.106749E-09   0.169230E-06  -0.545409E-10
  3104   0.128669E+02   0.376090E+00   0.889846E-08  -0.852652E+00   0.106644E-09   0.168945E-06  -0.199376E-10
  3105   0.128386E+02   0.373563E+00   0.884918E-08  -0.844578E+00   0.106539E-09   0.168659E-06   0.145304E-10
  3106   0.128096E+02   0.371073E+00   0.880014E-08  -0.836449E+00   0.106435E-09   0.168373E-06   0.488599E-10
  3107   0.127807E+02   0.368613E+00   0.875132E-08  -0.828261E+00   0.106330E-09   0.168085E-06   0.830475E-10
  3108   0.127512E+02   0.366207E+00   0.870272E-08  -0.820036E+00   0.106225E-09   0.167798E-06   0.117090E-09
  3109   0.127210E+02   0.363819E+00   0.865435E-08  -0.811755E+00   0.106121E-09   0.167509E-06   0.150984E-09
  3110   0.126909E+02   0.361465E+00   0.860620E-08  -0.803445E+00   0.106017E-09   0.167221E-06   0.184727E-09
  3111   0.126602E+02   0.359154E+00   0.855828E-08  -0.795090E+00   0.105913E-09   0.166931E-06   0.218314E-09
  3112   0.126287E+02   0.356880E+00   0.851058E-08  -0.786716E+00   0.105809E-09   0.166641E-06   0.251744E-09
  3113   0.125966E+02   0.354637E+00   0.846309E-08  -0.778314E+00   0.105705E-09   0.166351E-06   0.285012E-09
  3114   0.125646E+02   0.352426E+00   0.841583E-08  -0.769889E+00   0.105601E-09   0.166060E-06   0.318115E-09
  3115   0.125319E+02   0.350256E+00   0.836879E-08  -0.761437E+00   0.105498E-09   0.165769E-06   0.351051E-09
  3116   0.125007E+02   0.348129E+00   0.832196E-08  -0.752964E+00   0.105394E-09   0.165477E-06   0.383815E-09
  3117   0.124674E+02   0.346038E+00   0.827535E-08  -0.744490E+00   0.105291E-09   0.165185E-06   0.416404E-09
  3118   0.124341E+02   0.343969E+00   0.822896E-08  -0.736005E+00   0.105187E-09   0.164893E-06   0.448816E-09
  3119   0.124001E+02   0.341947E+00   0.818278E-08  -0.727521E+00   0.105084E-09   0.164600E-06   0.481047E-09
  3120   0.123662E+02   0.339966E+00   0.813682E-08  -0.719036E+00   0.104981E-09   0.164307E-06   0.513093E-09
  3121   0.123316E+02   0.338018E+00   0.809107E-08  -0.710546E+00   0.104879E-09   0.164014E-06   0.544952E-09
  3122   0.122992E+02   0.336106E+00   0.804553E-08  -0.702065E+00   0.104776E-09   0.163720E-06   0.576620E-09
  3123   0.122639E+02   0.334224E+00   0.800020E-08  -0.693591E+00   0.104673E-09   0.163426E-06   0.608093E-09
  3124   0.122287E+02   0.332380E+00   0.795509E-08  -0.685127E+00   0.104571E-09   0.163132E-06   0.639370E-09
  3125   0.121912E+02   0.330583E+00   0.791018E-08  -0.676679E+00   0.104468E-09   0.162837E-06   0.670445E-09
  3126   0.121560E+02   0.328819E+00   0.786548E-08  -0.668252E+00   0.104366E-09   0.162542E-06   0.701317E-09
  3127   0.121193E+02   0.327098E+00   0.782099E-08  -0.659851E+00   0.104264E-09   0.162248E-06   0.731982E-09
  3128   0.120826E+02   0.325406E+00   0.777670E-08  -0.651465E+00   0.104162E-09   0.161953E-06   0.762436E-09
  3129   0.120459E+02   0.323751E+00   0.773262E-08  -0.643108E+00   0.104060E-09   0.161657E-06   0.792676E-09
  3130   0.120085E+02   0.322136E+00   0.768875E-08  -0.634798E+00   0.103958E-09   0.161362E-06   0.822699E-09
  3131   0.119711E+02   0.320568E+00   0.764507E-08  -0.626505E+00   0.103857E-09   0.161067E-06   0.852502E-09
  3132   0.119330E+02   0.319034E+00   0.760160E-08  -0.618247E+00   0.103755E-09   0.160771E-06   0.882081E-09
  3133   0.118949E+02   0.317536E+00   0.755833E-08  -0.610029E+00   0.103654E-09   0.160475E-06   0.911434E-09
  3134   0.118567E+02   0.316075E+00   0.751527E-08  -0.601850E+00   0.103552E-09   0.160180E-06   0.940556E-09
  3135   0.118185E+02   0.314666E+00   0.747240E-08  -0.593728E+00   0.103451E-09   0.159884E-06   0.969446E-09
  3136   0.117789E+02   0.313291E+00   0.742973E-08  -0.585646E+00   0.103350E-09   0.159588E-06   0.998098E-09
  3137   0.117399E+02   0.311948E+00   0.738726E-08  -0.577603E+00   0.103249E-09   0.159293E-06   0.102651E-08
  3138   0.117002E+02   0.310648E+00   0.734498E-08  -0.569617E+00   0.103149E-09   0.158997E-06   0.105468E-08
  3139   0.116612E+02   0.309385E+00   0.730290E-08  -0.561679E+00   0.103048E-09   0.158702E-06   0.108260E-08
  3140   0.116215E+02   0.308166E+00   0.726102E-08  -0.553816E+00   0.102947E-09   0.158406E-06   0.111028E-08
  3141   0.115802E+02   0.306994E+00   0.721933E-08  -0.545988E+00   0.102847E-09   0.158111E-06   0.113770E-08
  3142   0.115404E+02   0.305847E+00   0.717783E-08  -0.538231E+00   0.102747E-09   0.157815E-06   0.116486E-08
  3143   0.115005E+02   0.304749E+00   0.713653E-08  -0.530533E+00   0.102646E-09   0.157520E-06   0.119176E-08
  3144   0.114591E+02   0.303702E+00   0.709542E-08  -0.522901E+00   0.102546E-09   0.157225E-06   0.121841E-08
  3145   0.114176E+02   0.302691E+00   0.705449E-08  -0.515338E+00   0.102446E-09   0.156930E-06   0.124478E-08
  3146   0.113761E+02   0.301712E+00   0.701376E-08  -0.507843E+00   0.102347E-09   0.156636E-06   0.127089E-08
  3147   0.113345E+02   0.300787E+00   0.697321E-08  -0.500413E+00   0.102247E-09   0.156341E-06   0.129672E-08
  3148   0.112929E+02   0.299903E+00   0.693285E-08  -0.493060E+00   0.102147E-09   0.156047E-06   0.132228E-08
  3149   0.112505E+02   0.299061E+00   0.689268E-08  -0.485782E+00   0.102048E-09   0.155753E-06   0.134756E-08
  3150   0.112080E+02   0.298263E+00   0.685269E-08  -0.478576E+00   0.101949E-09   0.155460E-06   0.137255E-08
  3151   0.111654E+02   0.297517E+00   0.681289E-08  -0.471455E+00   0.101849E-09   0.155166E-06   0.139726E-08
  3152   0.111227E+02   0.296801E+00   0.677327E-08  -0.464415E+00   0.101750E-09   0.154873E-06   0.142169E-08
  3153   0.110786E+02   0.296137E+00   0.673383E-08  -0.457454E+00   0.101651E-09   0.154580E-06   0.144582E-08
  3154   0.110358E+02   0.295511E+00   0.669458E-08  -0.450568E+00   0.101552E-09   0.154288E-06   0.146967E-08
  3155   0.109916E+02   0.294928E+00   0.665551E-08  -0.443769E+00   0.101454E-09   0.153996E-06   0.149323E-08
  3156   0.109480E+02   0.294375E+00   0.661662E-08  -0.437061E+00   0.101355E-09   0.153705E-06   0.151650E-08
  3157   0.109038E+02   0.293874E+00   0.657791E-08  -0.430434E+00   0.101256E-09   0.153413E-06   0.153948E-08
  3158   0.108595E+02   0.293401E+00   0.653937E-08  -0.423885E+00   0.101158E-09   0.153123E-06   0.156217E-08
  3159   0.108153E+02   0.292965E+00   0.650102E-08  -0.417432E+00   0.101060E-09   0.152832E-06   0.158456E-08
  3160   0.107703E+02   0.292565E+00   0.646285E-08  -0.411065E+00   0.100961E-09   0.152542E-06   0.160666E-08
  3161   0.107261E+02   0.292208E+00   0.642485E-08  -0.404788E+00   0.100863E-09   0.152253E-06   0.162847E-08
  3162   0.106812E+02   0.291879E+00   0.638703E-08  -0.398599E+00   0.100765E-09   0.151964E-06   0.164998E-08
  3163   0.106364E+02   0.291578E+00   0.634938E-08  -0.392501E+00   0.100668E-09   0.151675E-06   0.167120E-08
  3164   0.105909E+02   0.291313E+00   0.631191E-08  -0.386499E+00   0.100570E-09   0.151387E-06   0.169212E-08
  3165   0.105454E+02   0.291075E+00   0.627461E-08  -0.380590E+00   0.100472E-09   0.151100E-06   0.171274E-08
  3166   0.105001E+02   0.290873E+00   0.623749E-08  -0.374777E+00   0.100375E-09   0.150813E-06   0.173306E-08
  3167   0.104556E+02   0.290691E+00   0.620054E-08  -0.369051E+00   0.100278E-09   0.150527E-06   0.175308E-08
  3168   0.104105E+02   0.290550E+00   0.616376E-08  -0.363423E+00   0.100180E-09   0.150241E-06   0.177281E-08
  3169   0.103655E+02   0.290437E+00   0.612716E-08  -0.357898E+00   0.100083E-09   0.149956E-06   0.179223E-08
  3170   0.103199E+02   0.290343E+00   0.609072E-08  -0.352478E+00   0.999861E-10   0.149671E-06   0.181135E-08
  3171   0.102737E+02   0.290276E+00   0.605446E-08  -0.347141E+00   0.998892E-10   0.149387E-06   0.183016E-08
  3172   0.102299E+02   0.290243E+00   0.601836E-08  -0.341918E+00   0.997924E-10   0.149104E-06   0.184868E-08
  3173   0.101840E+02   0.290229E+00   0.598244E-08  -0.336792E+00   0.996958E-10   0.148821E-06   0.186689E-08
  3174   0.101390E+02   0.290234E+00   0.594668E-08  -0.331754E+00   0.995992E-10   0.148539E-06   0.188479E-08
  3175   0.100943E+02   0.290265E+00   0.591108E-08  -0.326820E+00   0.995028E-10   0.148258E-06   0.190239E-08
  3176   0.100489E+02   0.290329E+00   0.587566E-08  -0.321990E+00   0.994064E-10   0.147977E-06   0.191968E-08
  3177   0.100038E+02   0.290404E+00   0.584040E-08  -0.317259E+00   0.993102E-10   0.147697E-06   0.193666E-08
  3178   0.995895E+01   0.290512E+00   0.580531E-08  -0.312639E+00   0.992141E-10   0.147418E-06   0.195334E-08
  3179   0.991282E+01   0.290630E+00   0.577038E-08  -0.308135E+00   0.991181E-10   0.147140E-06   0.196970E-08
  3180   0.986692E+01   0.290782E+00   0.573561E-08  -0.303780E+00   0.990223E-10   0.146862E-06   0.198575E-08
  3181   0.982203E+01   0.290943E+00   0.570101E-08  -0.299474E+00   0.989265E-10   0.146585E-06   0.200149E-08
  3182   0.977740E+01   0.291129E+00   0.566657E-08  -0.295260E+00   0.988309E-10   0.146309E-06   0.201692E-08
  3183   0.973304E+01   0.291332E+00   0.563229E-08  -0.291216E+00   0.987353E-10   0.146034E-06   0.203204E-08
  3184   0.968749E+01   0.291560E+00   0.559817E-08  -0.287272E+00   0.986399E-10   0.145760E-06   0.204684E-08
  3185   0.964298E+01   0.291805E+00   0.556421E-08  -0.283357E+00   0.985446E-10   0.145486E-06   0.206133E-08
  3186   0.959803E+01   0.292081E+00   0.553041E-08  -0.279624E+00   0.984494E-10   0.145214E-06   0.207550E-08
  3187   0.955414E+01   0.292360E+00   0.549677E-08  -0.276005E+00   0.983543E-10   0.144942E-06   0.208936E-08
  3188   0.950910E+01   0.292639E+00   0.546329E-08  -0.272502E+00   0.982594E-10   0.144671E-06   0.210290E-08
  3189   0.946514E+01   0.292950E+00   0.542996E-08  -0.269120E+00   0.981645E-10   0.144401E-06   0.211612E-08
  3190   0.942080E+01   0.293284E+00   0.539679E-08  -0.265790E+00   0.980698E-10   0.144132E-06   0.212902E-08
  3191   0.937681E+01   0.293627E+00   0.536378E-08  -0.262663E+00   0.979751E-10   0.143864E-06   0.214160E-08
  3192   0.933246E+01   0.293985E+00   0.533092E-08  -0.259596E+00   0.978806E-10   0.143596E-06   0.215386E-08
  3193   0.928849E+01   0.294359E+00   0.529822E-08  -0.256668E+00   0.977862E-10   0.143330E-06   0.216580E-08
  3194   0.924566E+01   0.294749E+00   0.526567E-08  -0.253882E+00   0.976919E-10   0.143065E-06   0.217742E-08
  3195   0.920249E+01   0.295161E+00   0.523327E-08  -0.251243E+00   0.975977E-10   0.142801E-06   0.218871E-08
  3196   0.915900E+01   0.295580E+00   0.520102E-08  -0.248680E+00   0.975037E-10   0.142538E-06   0.219968E-08
  3197   0.911594E+01   0.296015E+00   0.516893E-08  -0.246125E+00   0.974097E-10   0.142276E-06   0.221032E-08
  3198   0.907257E+01   0.296479E+00   0.513699E-08  -0.243878E+00   0.973158E-10   0.142015E-06   0.222064E-08
  3199   0.903040E+01   0.296942E+00   0.510519E-08  -0.241720E+00   0.972221E-10   0.141755E-06   0.223063E-08
  3200   0.898794E+01   0.297428E+00   0.507355E-08  -0.239582E+00   0.971284E-10   0.141496E-06   0.224030E-08
  3201   0.894522E+01   0.297927E+00   0.504206E-08  -0.237765E+00   0.970349E-10   0.141238E-06   0.224963E-08
  3202   0.890297E+01   0.298425E+00   0.501071E-08  -0.235972E+00   0.969415E-10   0.140981E-06   0.225864E-08
  3203   0.886123E+01   0.298956E+00   0.497951E-08  -0.234278E+00   0.968482E-10   0.140726E-06   0.226732E-08
  3204   0.881925E+01   0.299492E+00   0.494846E-08  -0.232831E+00   0.967550E-10   0.140471E-06   0.227568E-08
  3205   0.877780E+01   0.300030E+00   0.491756E-08  -0.231411E+00   0.966619E-10   0.140218E-06   0.228372E-08
  3206   0.873614E+01   0.300576E+00   0.488681E-08  -0.230016E+00   0.965690E-10   0.139966E-06   0.229144E-08
  3207   0.869577E+01   0.301138E+00   0.485620E-08  -0.228944E+00   0.964761E-10   0.139715E-06   0.229883E-08
  3208   0.865447E+01   0.301698E+00   0.482575E-08  -0.227824E+00   0.963834E-10   0.139465E-06   0.230591E-08
  3209   0.861301E+01   0.302272E+00   0.479544E-08  -0.226880E+00   0.962907E-10   0.139216E-06   0.231267E-08
