#    L    TT             EE             BB             TE             PP             TP             EP          
   101   0.211083E+04   0.784457E+00   0.314468E-03  -0.205669E+02   0.120870E-06   0.305474E-03  -0.158820E-05
   102   0.213478E+04   0.797772E+00   0.311682E-03  -0.211475E+02   0.120017E-06   0.301647E-03  -0.155619E-05
   103   0.215864E+04   0.810881E+00   0.308785E-03  -0.217280E+02   0.119169E-06   0.297903E-03  -0.152101E-05
   104   0.218273E+04   0.823785E+00   0.305783E-03  -0.223052E+02   0.118324E-06   0.294242E-03  -0.148361E-05
   105   0.220696E+04   0.836407E+00   0.302679E-03  -0.228807E+02   0.117483E-06   0.290660E-03  -0.144496E-05
   106   0.223141E+04   0.848824E+00   0.299477E-03  -0.234538E+02   0.116646E-06   0.287155E-03  -0.140602E-05
   107   0.225578E+04   0.860884E+00   0.296183E-03  -0.240230E+02   0.115814E-06   0.283723E-03  -0.136775E-05
   108   0.228051E+04   0.872663E+00   0.292801E-03  -0.245891E+02   0.114986E-06   0.280362E-03  -0.133110E-05
   109   0.230539E+04   0.884085E+00   0.289335E-03  -0.251506E+02   0.114163E-06   0.277070E-03  -0.129703E-05
   110   0.233033E+04   0.895151E+00   0.285789E-03  -0.257061E+02   0.113344E-06   0.273844E-03  -0.126651E-05
   111   0.235541E+04   0.905934E+00   0.282168E-03  -0.262570E+02   0.112531E-06   0.270681E-03  -0.124028E-05
   112   0.238063E+04   0.916361E+00   0.278477E-03  -0.268026E+02   0.111722E-06   0.267579E-03  -0.121820E-05
   113   0.240608E+04   0.926433E+00   0.274721E-03  -0.273415E+02   0.110918E-06   0.264537E-03  -0.119993E-05
   114   0.243159E+04   0.936076E+00   0.270904E-03  -0.278728E+02   0.110119E-06   0.261553E-03  -0.118514E-05
   115   0.245733E+04   0.945442E+00   0.267031E-03  -0.283967E+02   0.109324E-06   0.258625E-03  -0.117347E-05
   116   0.248306E+04   0.954306E+00   0.263108E-03  -0.289124E+02   0.108535E-06   0.255752E-03  -0.116459E-05
   117   0.250910E+04   0.962746E+00   0.259139E-03  -0.294192E+02   0.107750E-06   0.252932E-03  -0.115816E-05
   118   0.253528E+04   0.970911E+00   0.255129E-03  -0.299178E+02   0.106971E-06   0.250163E-03  -0.115382E-05
   119   0.256147E+04   0.978653E+00   0.251082E-03  -0.304060E+02   0.106196E-06   0.247445E-03  -0.115124E-05
   120   0.258781E+04   0.985825E+00   0.247005E-03  -0.308837E+02   0.105427E-06   0.244774E-03  -0.115008E-05
   121   0.261416E+04   0.992725E+00   0.242901E-03  -0.313511E+02   0.104662E-06   0.242150E-03  -0.115000E-05
   122   0.264059E+04   0.999057E+00   0.238776E-03  -0.318074E+02   0.103903E-06   0.239570E-03  -0.115065E-05
   123   0.266711E+04   0.100490E+01   0.234634E-03  -0.322526E+02   0.103148E-06   0.237033E-03  -0.115168E-05
   124   0.269371E+04   0.101032E+01   0.230481E-03  -0.326838E+02   0.102399E-06   0.234538E-03  -0.115277E-05
   125   0.272033E+04   0.101525E+01   0.226321E-03  -0.331031E+02   0.101654E-06   0.232083E-03  -0.115357E-05
   126   0.274703E+04   0.101977E+01   0.222159E-03  -0.335098E+02   0.100915E-06   0.229666E-03  -0.115374E-05
   127   0.277375E+04   0.102372E+01   0.218000E-03  -0.339033E+02   0.100181E-06   0.227286E-03  -0.115293E-05
   128   0.280048E+04   0.102726E+01   0.213849E-03  -0.342828E+02   0.994519E-07   0.224940E-03  -0.115081E-05
   129   0.282731E+04   0.103024E+01   0.209710E-03  -0.346475E+02   0.987281E-07   0.222628E-03  -0.114703E-05
   130   0.285416E+04   0.103266E+01   0.205589E-03  -0.349967E+02   0.980096E-07   0.220347E-03  -0.114126E-05
   131   0.288103E+04   0.103468E+01   0.201491E-03  -0.353320E+02   0.972962E-07   0.218096E-03  -0.113324E-05
   132   0.290799E+04   0.103613E+01   0.197417E-03  -0.356504E+02   0.965880E-07   0.215876E-03  -0.112305E-05
   133   0.293490E+04   0.103712E+01   0.193372E-03  -0.359542E+02   0.958851E-07   0.213684E-03  -0.111086E-05
   134   0.296182E+04   0.103762E+01   0.189356E-03  -0.362391E+02   0.951873E-07   0.211522E-03  -0.109683E-05
   135   0.298877E+04   0.103759E+01   0.185374E-03  -0.365082E+02   0.944946E-07   0.209388E-03  -0.108114E-05
   136   0.301559E+04   0.103702E+01   0.181428E-03  -0.367577E+02   0.938071E-07   0.207283E-03  -0.106395E-05
   137   0.304242E+04   0.103598E+01   0.177520E-03  -0.369900E+02   0.931246E-07   0.205207E-03  -0.104543E-05
   138   0.306919E+04   0.103442E+01   0.173652E-03  -0.372037E+02   0.924472E-07   0.203158E-03  -0.102574E-05
   139   0.309575E+04   0.103247E+01   0.169829E-03  -0.373981E+02   0.917749E-07   0.201137E-03  -0.100505E-05
   140   0.312241E+04   0.102992E+01   0.166051E-03  -0.375741E+02   0.911076E-07   0.199143E-03  -0.983537E-06
   141   0.314885E+04   0.102686E+01   0.162322E-03  -0.377295E+02   0.904453E-07   0.197177E-03  -0.961358E-06
   142   0.317531E+04   0.102335E+01   0.158645E-03  -0.378652E+02   0.897880E-07   0.195238E-03  -0.938681E-06
   143   0.320170E+04   0.101940E+01   0.155022E-03  -0.379811E+02   0.891357E-07   0.193325E-03  -0.915675E-06
   144   0.322788E+04   0.101495E+01   0.151455E-03  -0.380768E+02   0.884883E-07   0.191438E-03  -0.892506E-06
   145   0.325393E+04   0.101013E+01   0.147948E-03  -0.381514E+02   0.878459E-07   0.189578E-03  -0.869340E-06
   146   0.328005E+04   0.100474E+01   0.144503E-03  -0.382051E+02   0.872084E-07   0.187743E-03  -0.846344E-06
   147   0.330582E+04   0.999003E+00   0.141123E-03  -0.382365E+02   0.865758E-07   0.185934E-03  -0.823686E-06
   148   0.333144E+04   0.992769E+00   0.137809E-03  -0.382471E+02   0.859480E-07   0.184150E-03  -0.801531E-06
   149   0.335700E+04   0.986119E+00   0.134566E-03  -0.382356E+02   0.853251E-07   0.182391E-03  -0.780046E-06
   150   0.338226E+04   0.979130E+00   0.131395E-03  -0.381998E+02   0.847071E-07   0.180657E-03  -0.759398E-06
   151   0.340739E+04   0.971732E+00   0.128299E-03  -0.381427E+02   0.840938E-07   0.178947E-03  -0.739720E-06
   152   0.343222E+04   0.963856E+00   0.125278E-03  -0.380630E+02   0.834854E-07   0.177261E-03  -0.721010E-06
   153   0.345691E+04   0.955652E+00   0.122332E-03  -0.379584E+02   0.828817E-07   0.175599E-03  -0.703234E-06
   154   0.348137E+04   0.947126E+00   0.119462E-03  -0.378313E+02   0.822827E-07   0.173959E-03  -0.686357E-06
   155   0.350563E+04   0.938281E+00   0.116667E-03  -0.376810E+02   0.816885E-07   0.172342E-03  -0.670345E-06
   156   0.352951E+04   0.929121E+00   0.113949E-03  -0.375076E+02   0.810990E-07   0.170746E-03  -0.655162E-06
   157   0.355332E+04   0.919650E+00   0.111306E-03  -0.373096E+02   0.805141E-07   0.169172E-03  -0.640775E-06
   158   0.357685E+04   0.909946E+00   0.108739E-03  -0.370879E+02   0.799339E-07   0.167618E-03  -0.627148E-06
