#    L    TT             EE             BB             TE          
   125   0.272194E+04   0.101644E+01   0.304806E-02  -0.330356E+02
   126   0.274862E+04   0.102099E+01   0.309991E-02  -0.334401E+02
   127   0.277532E+04   0.102499E+01   0.315234E-02  -0.338312E+02
   128   0.280202E+04   0.102858E+01   0.320536E-02  -0.342083E+02
   129   0.282882E+04   0.103160E+01   0.325898E-02  -0.345706E+02
   130   0.285564E+04   0.103408E+01   0.331321E-02  -0.349174E+02
   131   0.288247E+04   0.103614E+01   0.336806E-02  -0.352502E+02
   132   0.290940E+04   0.103766E+01   0.342353E-02  -0.355661E+02
   133   0.293627E+04   0.103870E+01   0.347963E-02  -0.358674E+02
   134   0.296315E+04   0.103927E+01   0.353637E-02  -0.361498E+02
   135   0.299006E+04   0.103930E+01   0.359376E-02  -0.364162E+02
   136   0.301683E+04   0.103880E+01   0.365181E-02  -0.366631E+02
   137   0.304361E+04   0.103783E+01   0.371053E-02  -0.368928E+02
   138   0.307033E+04   0.103634E+01   0.376992E-02  -0.371038E+02
   139   0.309685E+04   0.103448E+01   0.383000E-02  -0.372956E+02
   140   0.312344E+04   0.103202E+01   0.389077E-02  -0.374689E+02
   141   0.314983E+04   0.102904E+01   0.395224E-02  -0.376216E+02
   142   0.317623E+04   0.102563E+01   0.401442E-02  -0.377546E+02
   143   0.320256E+04   0.102178E+01   0.407732E-02  -0.378678E+02
   144   0.322868E+04   0.101742E+01   0.414094E-02  -0.379608E+02
   145   0.325466E+04   0.101271E+01   0.420531E-02  -0.380327E+02
   146   0.328072E+04   0.100743E+01   0.427041E-02  -0.380837E+02
   147   0.330642E+04   0.100181E+01   0.433626E-02  -0.381124E+02
   148   0.333197E+04   0.995698E+00   0.440288E-02  -0.381203E+02
   149   0.335745E+04   0.989173E+00   0.447025E-02  -0.381061E+02
   150   0.338264E+04   0.982315E+00   0.453840E-02  -0.380677E+02
   151   0.340768E+04   0.975054E+00   0.460733E-02  -0.380080E+02
   152   0.343243E+04   0.967318E+00   0.467703E-02  -0.379256E+02
   153   0.345704E+04   0.959262E+00   0.474753E-02  -0.378185E+02
   154   0.348142E+04   0.950888E+00   0.481882E-02  -0.376888E+02
   155   0.350559E+04   0.942200E+00   0.489091E-02  -0.375360E+02
   156   0.352938E+04   0.933204E+00   0.496380E-02  -0.373601E+02
   157   0.355310E+04   0.923902E+00   0.503749E-02  -0.371597E+02
   158   0.357653E+04   0.914373E+00   0.511200E-02  -0.369356E+02
   159   0.359966E+04   0.904473E+00   0.518731E-02  -0.366879E+02
   160   0.362257E+04   0.894354E+00   0.526343E-02  -0.364151E+02
   161   0.364526E+04   0.884094E+00   0.534037E-02  -0.361189E+02
   162   0.366766E+04   0.873548E+00   0.541812E-02  -0.357992E+02
   163   0.368990E+04   0.862796E+00   0.549668E-02  -0.354548E+02
   164   0.371170E+04   0.851915E+00   0.557605E-02  -0.350870E+02
   165   0.373336E+04   0.840835E+00   0.565623E-02  -0.346939E+02
   166   0.375471E+04   0.829709E+00   0.573722E-02  -0.342769E+02
   167   0.377585E+04   0.818317E+00   0.581902E-02  -0.338369E+02
   168   0.379653E+04   0.807035E+00   0.590161E-02  -0.333717E+02
   169   0.381693E+04   0.795569E+00   0.598501E-02  -0.328813E+02
   170   0.383702E+04   0.784148E+00   0.606920E-02  -0.323674E+02
   171   0.385667E+04   0.772774E+00   0.615417E-02  -0.318278E+02
   172   0.387594E+04   0.761376E+00   0.623993E-02  -0.312640E+02
   173   0.389478E+04   0.749960E+00   0.632647E-02  -0.306761E+02
   174   0.391331E+04   0.738827E+00   0.641378E-02  -0.300642E+02
   175   0.393147E+04   0.727682E+00   0.650185E-02  -0.294276E+02
   176   0.394911E+04   0.716752E+00   0.659067E-02  -0.287664E+02
   177   0.396638E+04   0.705968E+00   0.668025E-02  -0.280822E+02
   178   0.398321E+04   0.695555E+00   0.677056E-02  -0.273737E+02
   179   0.399959E+04   0.685220E+00   0.686161E-02  -0.266409E+02
   180   0.401568E+04   0.675191E+00   0.695337E-02  -0.258856E+02
   181   0.403127E+04   0.665469E+00   0.704585E-02  -0.251079E+02
   182   0.404641E+04   0.656135E+00   0.713903E-02  -0.243064E+02
   183   0.406105E+04   0.647116E+00   0.723290E-02  -0.234827E+02
   184   0.407533E+04   0.638491E+00   0.732746E-02  -0.226363E+02
   185   0.408917E+04   0.630412E+00   0.742268E-02  -0.217694E+02
   186   0.410222E+04   0.622742E+00   0.751857E-02  -0.208794E+02
   187   0.411513E+04   0.615625E+00   0.761511E-02  -0.199677E+02
   188   0.412755E+04   0.609050E+00   0.771229E-02  -0.190361E+02
   189   0.413939E+04   0.603059E+00   0.781009E-02  -0.180831E+02
   190   0.415110E+04   0.597706E+00   0.790852E-02  -0.171112E+02
   191   0.416195E+04   0.593017E+00   0.800755E-02  -0.161175E+02
   192   0.417246E+04   0.589019E+00   0.810718E-02  -0.151043E+02
   193   0.418240E+04   0.585759E+00   0.820739E-02  -0.140734E+02
   194   0.419199E+04   0.583272E+00   0.830817E-02  -0.130226E+02
   195   0.420103E+04   0.581596E+00   0.840951E-02  -0.119542E+02
   196   0.420950E+04   0.580774E+00   0.851141E-02  -0.108677E+02
   197   0.421756E+04   0.580854E+00   0.861384E-02  -0.976470E+01
   198   0.422514E+04   0.581860E+00   0.871679E-02  -0.864459E+01
   199   0.423224E+04   0.583835E+00   0.882027E-02  -0.750824E+01
   200   0.423885E+04   0.586810E+00   0.892424E-02  -0.635654E+01
   201   0.424492E+04   0.590847E+00   0.902871E-02  -0.518886E+01
   202   0.425050E+04   0.595947E+00   0.913366E-02  -0.400675E+01
   203   0.425554E+04   0.602159E+00   0.923907E-02  -0.280947E+01
   204   0.425996E+04   0.609496E+00   0.934494E-02  -0.160004E+01
   205   0.426391E+04   0.617994E+00   0.945126E-02  -0.376266E+00
   206   0.426725E+04   0.627680E+00   0.955801E-02   0.860573E+00
   207   0.427012E+04   0.638567E+00   0.966518E-02   0.210999E+01
   208   0.427230E+04   0.650698E+00   0.977276E-02   0.337145E+01
   209   0.427395E+04   0.664086E+00   0.988073E-02   0.464454E+01
   210   0.427506E+04   0.678774E+00   0.998909E-02   0.592834E+01
   211   0.427565E+04   0.694781E+00   0.100978E-01   0.722277E+01
   212   0.427555E+04   0.712129E+00   0.102069E-01   0.852685E+01
   213   0.427501E+04   0.730852E+00   0.103163E-01   0.984061E+01
   214   0.427386E+04   0.750933E+00   0.104261E-01   0.111628E+02
   215   0.427219E+04   0.772557E+00   0.105362E-01   0.124927E+02
   216   0.426993E+04   0.795527E+00   0.106465E-01   0.138307E+02
   217   0.426723E+04   0.819991E+00   0.107572E-01   0.151749E+02
   218   0.426393E+04   0.845940E+00   0.108682E-01   0.165254E+02
   219   0.426012E+04   0.873363E+00   0.109794E-01   0.178831E+02
   220   0.425580E+04   0.902399E+00   0.110908E-01   0.192437E+02
   221   0.425097E+04   0.932966E+00   0.112025E-01   0.206092E+02
   222   0.424564E+04   0.965202E+00   0.113144E-01   0.219782E+02
   223   0.423965E+04   0.999024E+00   0.114265E-01   0.233513E+02
   224   0.423330E+04   0.103442E+01   0.115387E-01   0.247249E+02
   225   0.422638E+04   0.107153E+01   0.116512E-01   0.261019E+02
   226   0.421896E+04   0.111035E+01   0.117637E-01   0.274785E+02
   227   0.421098E+04   0.115086E+01   0.118764E-01   0.288563E+02
   228   0.420257E+04   0.119306E+01   0.119893E-01   0.302336E+02
   229   0.419367E+04   0.123701E+01   0.121022E-01   0.316090E+02
   230   0.418420E+04   0.128271E+01   0.122151E-01   0.329832E+02
   231   0.417417E+04   0.133021E+01   0.123282E-01   0.343555E+02
   232   0.416374E+04   0.137943E+01   0.124412E-01   0.357242E+02
   233   0.415281E+04   0.143059E+01   0.125543E-01   0.370880E+02
   234   0.414126E+04   0.148352E+01   0.126674E-01   0.384475E+02
   235   0.412931E+04   0.153830E+01   0.127804E-01   0.398012E+02
   236   0.411680E+04   0.159491E+01   0.128935E-01   0.411491E+02
   237   0.410382E+04   0.165342E+01   0.130064E-01   0.424897E+02
   238   0.409036E+04   0.171389E+01   0.131192E-01   0.438229E+02
