#    L    TT             EE             BB             TE          
   140   0.312241E+04   0.102992E+01   0.166051E-03  -0.375741E+02
   141   0.314885E+04   0.102686E+01   0.162322E-03  -0.377295E+02
   142   0.317531E+04   0.102335E+01   0.158645E-03  -0.378652E+02
   143   0.320170E+04   0.101940E+01   0.155022E-03  -0.379811E+02
   144   0.322788E+04   0.101495E+01   0.151455E-03  -0.380768E+02
   145   0.325393E+04   0.101013E+01   0.147948E-03  -0.381514E+02
   146   0.328005E+04   0.100474E+01   0.144503E-03  -0.382051E+02
   147   0.330582E+04   0.999003E+00   0.141123E-03  -0.382365E+02
   148   0.333144E+04   0.992769E+00   0.137809E-03  -0.382471E+02
   149   0.335700E+04   0.986119E+00   0.134566E-03  -0.382356E+02
   150   0.338226E+04   0.979130E+00   0.131395E-03  -0.381998E+02
   151   0.340739E+04   0.971732E+00   0.128299E-03  -0.381427E+02
   152   0.343222E+04   0.963856E+00   0.125278E-03  -0.380630E+02
   153   0.345691E+04   0.955652E+00   0.122332E-03  -0.379584E+02
   154   0.348137E+04   0.947126E+00   0.119462E-03  -0.378313E+02
   155   0.350563E+04   0.938281E+00   0.116667E-03  -0.376810E+02
   156   0.352951E+04   0.929121E+00   0.113949E-03  -0.375076E+02
   157   0.355332E+04   0.919650E+00   0.111306E-03  -0.373096E+02
   158   0.357685E+04   0.909946E+00   0.108739E-03  -0.370879E+02
   159   0.360007E+04   0.899864E+00   0.106249E-03  -0.368425E+02
   160   0.362308E+04   0.889558E+00   0.103834E-03  -0.365720E+02
   161   0.364587E+04   0.879105E+00   0.101497E-03  -0.362780E+02
   162   0.366837E+04   0.868361E+00   0.992353E-04  -0.359605E+02
   163   0.369072E+04   0.857403E+00   0.970508E-04  -0.356181E+02
   164   0.371262E+04   0.846311E+00   0.949430E-04  -0.352524E+02
   165   0.373439E+04   0.835013E+00   0.929123E-04  -0.348612E+02
   166   0.375585E+04   0.823663E+00   0.909586E-04  -0.344461E+02
   167   0.377710E+04   0.812041E+00   0.890821E-04  -0.340078E+02
   168   0.379790E+04   0.800522E+00   0.872831E-04  -0.335443E+02
   169   0.381841E+04   0.788814E+00   0.855615E-04  -0.330555E+02
   170   0.383862E+04   0.777144E+00   0.839175E-04  -0.325431E+02
   171   0.385838E+04   0.765514E+00   0.823513E-04  -0.320048E+02
   172   0.387778E+04   0.753855E+00   0.808629E-04  -0.314423E+02
   173   0.389673E+04   0.742171E+00   0.794526E-04  -0.308556E+02
   174   0.391539E+04   0.730763E+00   0.781205E-04  -0.302448E+02
   175   0.393367E+04   0.719338E+00   0.768666E-04  -0.296091E+02
   176   0.395144E+04   0.708121E+00   0.756907E-04  -0.289487E+02
   177   0.396883E+04   0.697044E+00   0.745910E-04  -0.282652E+02
   178   0.398579E+04   0.686332E+00   0.735651E-04  -0.275573E+02
   179   0.400230E+04   0.675693E+00   0.726108E-04  -0.268249E+02
   180   0.401852E+04   0.665352E+00   0.717257E-04  -0.260699E+02
   181   0.403423E+04   0.655314E+00   0.709077E-04  -0.252923E+02
   182   0.404951E+04   0.645657E+00   0.701544E-04  -0.244908E+02
   183   0.406428E+04   0.636309E+00   0.694635E-04  -0.236670E+02
   184   0.407869E+04   0.627350E+00   0.688327E-04  -0.228202E+02
   185   0.409266E+04   0.618932E+00   0.682599E-04  -0.219529E+02
   186   0.410584E+04   0.610916E+00   0.677426E-04  -0.210623E+02
   187   0.411889E+04   0.603449E+00   0.672786E-04  -0.201498E+02
   188   0.413143E+04   0.596519E+00   0.668656E-04  -0.192172E+02
   189   0.414341E+04   0.590167E+00   0.665013E-04  -0.182631E+02
   190   0.415526E+04   0.584449E+00   0.661835E-04  -0.172899E+02
   191   0.416624E+04   0.579390E+00   0.659099E-04  -0.162947E+02
   192   0.417687E+04   0.575017E+00   0.656782E-04  -0.152798E+02
   193   0.418694E+04   0.571379E+00   0.654860E-04  -0.142470E+02
   194   0.419667E+04   0.568508E+00   0.653312E-04  -0.131942E+02
   195   0.420583E+04   0.566446E+00   0.652114E-04  -0.121236E+02
   196   0.421443E+04   0.565234E+00   0.651244E-04  -0.110347E+02
   197   0.422263E+04   0.564920E+00   0.650678E-04  -0.992903E+01
   198   0.423033E+04   0.565529E+00   0.650394E-04  -0.880609E+01
   199   0.423756E+04   0.567104E+00   0.650369E-04  -0.766672E+01
   200   0.424430E+04   0.569677E+00   0.650580E-04  -0.651179E+01
   201   0.425049E+04   0.573309E+00   0.651007E-04  -0.534068E+01
   202   0.425620E+04   0.578002E+00   0.651637E-04  -0.415492E+01
   203   0.426136E+04   0.583805E+00   0.652461E-04  -0.295380E+01
   204   0.426590E+04   0.590732E+00   0.653468E-04  -0.174031E+01
   205   0.426997E+04   0.598818E+00   0.654649E-04  -0.512262E+00
   206   0.427342E+04   0.608092E+00   0.655993E-04   0.729061E+00
   207   0.427641E+04   0.618566E+00   0.657491E-04   0.198318E+01
   208   0.427871E+04   0.630285E+00   0.659132E-04   0.324955E+01
   209   0.428047E+04   0.643260E+00   0.660907E-04   0.452778E+01
   210   0.428169E+04   0.657535E+00   0.662806E-04   0.581693E+01
   211   0.428239E+04   0.673131E+00   0.664819E-04   0.711692E+01
   212   0.428240E+04   0.690069E+00   0.666935E-04   0.842679E+01
   213   0.428196E+04   0.708384E+00   0.669145E-04   0.974655E+01
   214   0.428092E+04   0.728059E+00   0.671440E-04   0.110750E+02
   215   0.427935E+04   0.749279E+00   0.673808E-04   0.124113E+02
   216   0.427719E+04   0.771849E+00   0.676240E-04   0.137560E+02
   217   0.427458E+04   0.795916E+00   0.678726E-04   0.151070E+02
   218   0.427138E+04   0.821471E+00   0.681256E-04   0.164646E+02
   219   0.426766E+04   0.848505E+00   0.683821E-04   0.178296E+02
   220   0.426343E+04   0.877158E+00   0.686409E-04   0.191977E+02
   221   0.425869E+04   0.907346E+00   0.689012E-04   0.205709E+02
   222   0.425344E+04   0.939209E+00   0.691619E-04   0.219478E+02
   223   0.424753E+04   0.972663E+00   0.694220E-04   0.233292E+02
   224   0.424126E+04   0.100770E+01   0.696806E-04   0.247111E+02
